#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0821200.1-p1   -           1723 555at5820            -           1342         0 2685.6  68.7   1   5  4.9e-156  5.4e-153  509.9   8.9     1   252    10   270    10   275 0.97 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 555at5820            -           1342         0 2685.6  68.7   2   5  3.1e-133  3.4e-130  434.4   9.8   251   452   340   546   332   551 0.97 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 555at5820            -           1342         0 2685.6  68.7   3   5   2.2e-34   2.4e-31  106.9   0.2   462   522   652   712   631   720 0.89 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 555at5820            -           1342         0 2685.6  68.7   4   5   1.2e-52   1.3e-49  167.4   0.1   523   615   768   861   763   866 0.96 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 555at5820            -           1342         0 2685.6  68.7   5   5         0         0 1485.4  24.2   614  1342   910  1720   904  1720 0.93 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   1   7   1.2e-24   1.3e-21   74.6   0.4    42   142    24   124    10   142 0.90 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   2   7   1.7e-13   1.8e-10   37.7   0.2   143   238   190   289   169   302 0.88 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   3   7   1.4e-18   1.5e-15   54.5   4.8   255   390   361   502   350   509 0.80 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   4   7     6e-09   6.5e-06   22.6   0.0   395   456   616   675   602   714 0.86 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   5   7     0.011        12    1.8   0.0   537   571   730   764   718   776 0.86 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   6   7   6.8e-62   7.4e-59  198.0  14.3   650  1084   884  1302   877  1314 0.82 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
