#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   1   7   4.8e-43   1.6e-39  134.6   1.1     1   107    29   140    29   146 0.94 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   2   7   1.5e-80   4.8e-77  258.7  31.0   110   312   219   451   206   459 0.89 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   3   7   2.9e-21   9.5e-18   62.6   0.1   312   363   479   530   472   534 0.94 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   4   7     0.035   1.1e+02   -0.4   0.0   361   384   591   614   589   618 0.82 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   5   7   3.1e-17     1e-13   49.3   0.4   376   418   652   694   644   699 0.91 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   6   7   2.5e-94   8.1e-91  304.2  17.3   412   643   740  1020   730  1022 0.88 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 1697at5820           -            721  4.8e-272  903.3  75.3   7   7   2.3e-34   7.6e-31  105.9   0.0   640   720  1093  1180  1091  1181 0.95 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408900.1-p1   -           1053 1697at5820           -            721   0.00033   17.9   0.1   1   2     0.033   1.1e+02   -0.4   0.0   194   260   174   240   165   242 0.81 | transcript=PVP01_0408900.1 | gene=PVP01_0408900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:359530-362825(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408900.1-p1   -           1053 1697at5820           -            721   0.00033   17.9   0.1   2   2   5.8e-07    0.0019   15.4   0.0   677   720  1005  1048   990  1049 0.91 | transcript=PVP01_0408900.1 | gene=PVP01_0408900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:359530-362825(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1697at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:12 2026
# [ok]
