#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0918900.1-p1   -           1315 1582at5820           -           1005         0 1872.8  59.6   1   6  7.3e-161  1.6e-157  524.5  10.7     1   242     1   243     1   245 0.99 | transcript=PVP01_0918900.1 | gene=PVP01_0918900 | organism=Plasmodium_vivax_P01 | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=PvP01_09_v2:833833-837780(+) | protein_length=1315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918900.1-p1   -           1315 1582at5820           -           1005         0 1872.8  59.6   2   6   3.9e-70   8.4e-67  224.2   0.0   238   368   267   402   258   410 0.93 | transcript=PVP01_0918900.1 | gene=PVP01_0918900 | organism=Plasmodium_vivax_P01 | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=PvP01_09_v2:833833-837780(+) | protein_length=1315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918900.1-p1   -           1315 1582at5820           -           1005         0 1872.8  59.6   3   6   5.6e-98   1.2e-94  316.4   9.4   353   532   437   620   433   625 0.97 | transcript=PVP01_0918900.1 | gene=PVP01_0918900 | organism=Plasmodium_vivax_P01 | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=PvP01_09_v2:833833-837780(+) | protein_length=1315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918900.1-p1   -           1315 1582at5820           -           1005         0 1872.8  59.6   4   6  8.4e-130  1.8e-126  421.7   4.4   527   760   653   891   633   917 0.92 | transcript=PVP01_0918900.1 | gene=PVP01_0918900 | organism=Plasmodium_vivax_P01 | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=PvP01_09_v2:833833-837780(+) | protein_length=1315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918900.1-p1   -           1315 1582at5820           -           1005         0 1872.8  59.6   5   6  1.4e-125  2.9e-122  407.8   3.4   753   993   963  1231   956  1238 0.93 | transcript=PVP01_0918900.1 | gene=PVP01_0918900 | organism=Plasmodium_vivax_P01 | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=PvP01_09_v2:833833-837780(+) | protein_length=1315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918900.1-p1   -           1315 1582at5820           -           1005         0 1872.8  59.6   6   6     0.014        30    0.6   0.3   988  1005  1297  1314  1292  1314 0.87 | transcript=PVP01_0918900.1 | gene=PVP01_0918900 | organism=Plasmodium_vivax_P01 | gene_product=insulinase, putative | transcript_product=insulinase, putative | location=PvP01_09_v2:833833-837780(+) | protein_length=1315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111200.1-p1   -           1153 1582at5820           -           1005   5.8e-11   39.4  31.0   1   1   1.5e-13   3.3e-10   36.9  31.0    45   498   114   607    87   629 0.73 | transcript=PVP01_1111200.1 | gene=PVP01_1111200 | organism=Plasmodium_vivax_P01 | gene_product=falcilysin, putative | transcript_product=falcilysin, putative | location=PvP01_11_v2:452996-456457(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732300.1-p1   -            467 1582at5820           -           1005   2.4e-06   24.0   1.5   1   2   4.3e-09   9.4e-06   22.1   0.3    49   230    59   226    36   295 0.84 | transcript=PVP01_0732300.1 | gene=PVP01_0732300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial-processing peptidase subunit beta, putative | transcript_product=mitochondrial-processing peptidase subunit beta, putative | location=PvP01_07_v2:1347165-1348568(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732300.1-p1   -            467 1582at5820           -           1005   2.4e-06   24.0   1.5   2   2     0.011        24    0.9   0.0   878   943   369   437   344   449 0.83 | transcript=PVP01_0732300.1 | gene=PVP01_0732300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial-processing peptidase subunit beta, putative | transcript_product=mitochondrial-processing peptidase subunit beta, putative | location=PvP01_07_v2:1347165-1348568(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1582at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1582at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1582at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:36 2026
# [ok]
