#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1006600.1-p1   -            590 5794at5820           -            446  7.3e-261  864.0  24.5   1   3  1.2e-143  1.3e-140  467.7   2.7     1   239     1   243     1   247 0.98 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 5794at5820           -            446  7.3e-261  864.0  24.5   2   3   9.2e-79     1e-75  253.8   0.8   238   366   274   403   267   426 0.94 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 5794at5820           -            446  7.3e-261  864.0  24.5   3   3   8.6e-46   9.4e-43  145.1   6.5   362   446   482   585   478   585 0.85 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 5794at5820           -            446   1.1e-10   39.3  13.5   1   3   5.8e-06    0.0063   13.8   3.1   109   205   330   430   279   474 0.67 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 5794at5820           -            446   1.1e-10   39.3  13.5   2   3   0.00019       0.2    8.9   0.3   272   309   602   640   587   656 0.76 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 5794at5820           -            446   1.1e-10   39.3  13.5   3   3   1.5e-08   1.7e-05   22.3   0.1   350   412   804   862   754   869 0.78 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 5794at5820           -            446   4.4e-10   37.4   9.9   1   2   3.4e-05     0.037   11.3   0.3   110   143  1242  1275  1218  1317 0.79 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 5794at5820           -            446   4.4e-10   37.4   9.9   2   2   2.1e-10   2.3e-07   28.5   3.9   334   418  1506  1582  1362  1594 0.74 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 5794at5820           -            446   1.2e-06   26.1   0.4   1   2   1.5e-05     0.016   12.5   0.0    16    72    13    70     1    76 0.84 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 5794at5820           -            446   1.2e-06   26.1   0.4   2   2   1.7e-05     0.019   12.3   0.0    15    72    88   146    75   149 0.83 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 5794at5820           -            446   1.3e-05   22.7   0.1   1   2   6.4e-07   0.00069   17.0   0.0   104   179   319   407   310   441 0.60 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
