#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0111900.1-p1   -            686 4340at5820           -            495  1.2e-267  887.0  37.8   1   4   4.4e-97   4.8e-94  314.4   0.3     1   153     2   155     2   162 0.97 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4340at5820           -            495  1.2e-267  887.0  37.8   2   4  6.5e-153  7.1e-150  498.5  12.1   151   421   178   468   168   498 0.93 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4340at5820           -            495  1.2e-267  887.0  37.8   3   4      0.13   1.4e+02   -0.5   0.1   415   443   510   538   495   549 0.79 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4340at5820           -            495  1.2e-267  887.0  37.8   4   4     2e-27   2.2e-24   84.6   9.3   425   492   558   626   536   630 0.88 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4340at5820           -            495   8.6e-24   82.7  18.3   1   5   0.00028       0.3    8.3   0.0    58   124    66   126    58   139 0.70 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4340at5820           -            495   8.6e-24   82.7  18.3   2   5   2.2e-08   2.4e-05   21.8   0.4    31   117    91   179    88   182 0.77 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4340at5820           -            495   8.6e-24   82.7  18.3   3   5   1.1e-12   1.2e-09   36.0   3.1   266   347   155   243   148   248 0.86 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4340at5820           -            495   8.6e-24   82.7  18.3   4   5     3e-12   3.3e-09   34.6   0.6   259   346   259   355   255   360 0.81 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4340at5820           -            495   8.6e-24   82.7  18.3   5   5   0.00019       0.2    8.9   0.2   266   334   375   447   369   452 0.75 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4340at5820           -            495   7.1e-19   66.4  15.4   1   3   1.4e-14   1.5e-11   42.3   3.5   209   340    30   158    12   168 0.83 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4340at5820           -            495   7.1e-19   66.4  15.4   2   3   1.8e-05      0.02   12.2   0.0   296   349   267   318   259   324 0.86 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
