#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   1  11   5.8e-21   3.8e-17   59.8   7.9     1    65     2    66     2    76 0.93 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   2  11  5.7e-108  3.7e-104  348.0  21.6    49   350   135   483    90   495 0.83 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   3  11   7.2e-19   4.7e-15   52.9   0.4   350   395   520   565   512   571 0.93 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   4  11   3.2e-48   2.1e-44  150.1   2.7   391   538   685   855   680   861 0.83 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   5  11   5.3e-10   3.4e-06   23.5   0.0   533   593   873   938   866   952 0.78 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   6  11   2.6e-05      0.17    8.0   0.9   576   609   950   983   945   987 0.87 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   7  11   1.6e-34     1e-30  104.7   8.0   604   714  1005  1126   995  1133 0.87 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   8  11     1e-52   6.6e-49  165.0   0.1   720   845  1158  1295  1145  1300 0.93 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9   9  11   2.3e-20   1.5e-16   57.8   0.0   848   903  1382  1438  1379  1448 0.93 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9  10  11  4.7e-110  3.1e-106  354.9   1.5   903  1158  1554  1837  1551  1839 0.91 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530200.1-p1   -           1978 1258at5820           -           1250         0 1419.2 100.9  11  11     5e-41   3.3e-37  126.3   4.7  1159  1250  1876  1978  1873  1978 0.91 | transcript=PVP01_0530200.1 | gene=PVP01_0530200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1271556-1278724(-) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
