#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0938400.1-p1   -            453 6375at5820           -            375  1.6e-235  779.6  16.5   1   1  3.2e-238  2.1e-235  779.2  16.5     7   375    61   451    57   451 0.96 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 6375at5820           -            375   1.8e-44  150.9  22.6   1   6   6.6e-05     0.043   11.4   0.2    88   175    20   108    10   121 0.74 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 6375at5820           -            375   1.8e-44  150.9  22.6   2   6   6.4e-07   0.00042   18.0   0.1   242   282   224   262   217   280 0.79 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 6375at5820           -            375   1.8e-44  150.9  22.6   3   6   8.4e-19   5.5e-16   57.1   0.6    89   220   321   448   300   465 0.88 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 6375at5820           -            375   1.8e-44  150.9  22.6   4   6   3.3e-13   2.1e-10   38.7   0.1   139   229   625   715   595   725 0.84 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 6375at5820           -            375   1.8e-44  150.9  22.6   5   6   4.4e-09   2.9e-06   25.1   0.8   103   220   773   905   765   914 0.74 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 6375at5820           -            375   1.8e-44  150.9  22.6   6   6   0.00015     0.099   10.2   0.1    48   136   931  1029   906  1046 0.64 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 6375at5820           -            375   7.6e-20   69.8  13.7   1   3   2.5e-10   1.6e-07   29.3   0.1   131   228    30   132    24   151 0.82 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 6375at5820           -            375   7.6e-20   69.8  13.7   2   3   0.00022      0.14    9.7   1.6   190   264   173   253   160   256 0.81 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 6375at5820           -            375   7.6e-20   69.8  13.7   3   3   1.5e-13   9.7e-11   39.8   3.8   138   280   240   375   232   432 0.84 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 6375at5820           -            375   9.8e-20   69.4  16.3   1   5      0.71   4.7e+02   -1.9   0.0   271   284    41    54    38    62 0.82 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 6375at5820           -            375   9.8e-20   69.4  16.3   2   5     2e-13   1.3e-10   39.4   1.7   192   282    70   152    53   169 0.64 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 6375at5820           -            375   9.8e-20   69.4  16.3   3   5      0.16   1.1e+02    0.2   0.1    87   113   201   228   167   235 0.69 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 6375at5820           -            375   9.8e-20   69.4  16.3   4   5   5.8e-06    0.0038   14.9   0.1   192   243   242   293   228   308 0.74 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 6375at5820           -            375   9.8e-20   69.4  16.3   5   5   3.3e-08   2.2e-05   22.2   0.3    42   111   307   387   296   399 0.73 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 6375at5820           -            375   3.3e-19   67.7  17.8   1   3    0.0018       1.2    6.7   0.2   190   229    31    70     4    77 0.83 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 6375at5820           -            375   3.3e-19   67.7  17.8   2   3   2.2e-12   1.4e-09   36.0   3.9    41   159    35   157    20   167 0.74 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 6375at5820           -            375   3.3e-19   67.7  17.8   3   3   9.7e-10   6.3e-07   27.3   6.0   117   251   264   379   260   463 0.77 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 6375at5820           -            375   5.2e-15   53.9  16.9   1   4   4.8e-08   3.1e-05   21.7   0.3   184   227    54    98    17   104 0.85 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 6375at5820           -            375   5.2e-15   53.9  16.9   2   4   0.00031       0.2    9.2   0.5   185   234   156   204   102   219 0.76 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 6375at5820           -            375   5.2e-15   53.9  16.9   3   4   1.5e-06   0.00096   16.8   0.1    84   117   360   393   341   413 0.79 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 6375at5820           -            375   5.2e-15   53.9  16.9   4   4   2.7e-06    0.0018   15.9   0.8    38   113   449   534   422   583 0.65 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 6375at5820           -            375     6e-14   50.4   3.1   1   5   2.7e-06    0.0018   16.0   0.0   199   230   486   517   478   533 0.87 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 6375at5820           -            375     6e-14   50.4   3.1   2   5   0.00079      0.51    7.8   0.0   195   238   593   636   557   646 0.76 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 6375at5820           -            375     6e-14   50.4   3.1   3   5     6e-05     0.039   11.5   0.0   179   230   663   714   647   727 0.81 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 6375at5820           -            375     6e-14   50.4   3.1   4   5    0.0002      0.13    9.8   0.3   119   165   782   828   768   846 0.79 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 6375at5820           -            375     6e-14   50.4   3.1   5   5      0.27   1.7e+02   -0.5   0.0   138   156  1700  1718  1683  1722 0.79 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438700.1-p1   -           2756 6375at5820           -            375   1.7e-13   48.9  24.4   1   4      0.76   4.9e+02   -2.0   1.2   296   363    64   134    11   139 0.75 | transcript=PVP01_1438700.1 | gene=PVP01_1438700 | organism=Plasmodium_vivax_P01 | gene_product=cell cycle associated protein, putative | transcript_product=cell cycle associated protein, putative | location=PvP01_14_v2:1639977-1648851(+) | protein_length=2756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438700.1-p1   -           2756 6375at5820           -            375   1.7e-13   48.9  24.4   2   4      0.12        75    0.7   0.1   215   231  2078  2094  2072  2121 0.87 | transcript=PVP01_1438700.1 | gene=PVP01_1438700 | organism=Plasmodium_vivax_P01 | gene_product=cell cycle associated protein, putative | transcript_product=cell cycle associated protein, putative | location=PvP01_14_v2:1639977-1648851(+) | protein_length=2756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438700.1-p1   -           2756 6375at5820           -            375   1.7e-13   48.9  24.4   3   4   5.7e-15   3.7e-12   44.5   4.2   102   220  2270  2396  2246  2403 0.78 | transcript=PVP01_1438700.1 | gene=PVP01_1438700 | organism=Plasmodium_vivax_P01 | gene_product=cell cycle associated protein, putative | transcript_product=cell cycle associated protein, putative | location=PvP01_14_v2:1639977-1648851(+) | protein_length=2756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438700.1-p1   -           2756 6375at5820           -            375   1.7e-13   48.9  24.4   4   4   2.5e-06    0.0017   16.0   1.6   181   292  2397  2518  2395  2534 0.73 | transcript=PVP01_1438700.1 | gene=PVP01_1438700 | organism=Plasmodium_vivax_P01 | gene_product=cell cycle associated protein, putative | transcript_product=cell cycle associated protein, putative | location=PvP01_14_v2:1639977-1648851(+) | protein_length=2756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 6375at5820           -            375   7.5e-12   43.5   3.3   1   2   2.1e-11   1.4e-08   32.7   0.6   192   281   239   329   195   380 0.68 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 6375at5820           -            375   7.5e-12   43.5   3.3   2   2   0.00012     0.076   10.6   0.1   182   235   434   487   421   532 0.70 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 6375at5820           -            375     2e-11   42.1  11.7   1   3     8e-09   5.2e-06   24.3   0.8   125   228    66   163    55   170 0.81 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 6375at5820           -            375     2e-11   42.1  11.7   2   3   7.8e-08   5.1e-05   21.0   2.1   126   232   207   315   195   416 0.69 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 6375at5820           -            375     2e-11   42.1  11.7   3   3       1.5   9.6e+02   -2.9   0.0   111   190  1775  1857  1771  1865 0.73 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:13 2026
# [ok]
