#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0805200.1-p1   -           1554 1130at5820           -           1077         0 2108.8  29.8   1   3   6.8e-11   6.4e-08   29.4   1.3     1    70     1    76     1   123 0.47 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 1130at5820           -           1077         0 2108.8  29.8   2   3   2.1e-84   1.9e-81  272.9   8.8    20   216   160   378   145   432 0.74 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 1130at5820           -           1077         0 2108.8  29.8   3   3         0         0 1816.4   4.4   212  1066   537  1512   501  1523 0.94 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1130at5820           -           1077   4.7e-74  248.4   0.3   1   5         7   6.5e+03   -8.8  12.4   963  1033    63   132    38   152 0.58 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1130at5820           -           1077   4.7e-74  248.4   0.3   2   5         7   6.5e+03  -10.0  12.3    33   102   346   420   322   448 0.41 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1130at5820           -           1077   4.7e-74  248.4   0.3   3   5       0.6   5.6e+02   -3.5   8.5    12   106   726   823   704   855 0.40 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1130at5820           -           1077   4.7e-74  248.4   0.3   4   5      0.21   1.9e+02   -1.9   0.4   985  1029  1329  1373  1296  1401 0.75 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1130at5820           -           1077   4.7e-74  248.4   0.3   5   5   5.1e-77   4.7e-74  248.4   0.3   484   902  1810  2216  1785  2221 0.86 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1130at5820           -           1077   1.2e-50  170.9  23.2   1   3      0.24   2.3e+02   -2.2   1.7   200   264   108   178    57   203 0.62 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1130at5820           -           1077   1.2e-50  170.9  23.2   2   3   1.9e-31   1.8e-28   97.5   6.3   494   747   393   676   376   693 0.72 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1130at5820           -           1077   1.2e-50  170.9  23.2   3   3     3e-27   2.8e-24   83.6   0.9   789   909   932  1058   924  1076 0.87 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
