#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   1  11     2e-43   1.3e-39  134.1   0.6     4   120    50   183    47   189 0.89 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   2  11   5.1e-77   3.3e-73  245.4   0.1   115   299   221   430   209   440 0.88 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   3  11   1.7e-73   1.1e-69  233.8  14.3   304   475   475   675   455   681 0.86 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   4  11   5.7e-59   3.7e-55  185.6   5.5   470   584   705   822   695   832 0.94 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   5  11     1e-72   6.7e-69  231.2  11.7   581   702   841   962   834   965 0.97 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   6  11     5e-54   3.3e-50  169.2   2.0   710   849  1041  1218  1034  1221 0.85 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   7  11   4.1e-33   2.7e-29   99.9   0.0   850   947  1257  1366  1252  1370 0.88 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   8  11   8.9e-53   5.8e-49  165.1   1.3   948  1100  1411  1597  1408  1602 0.84 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9   9  11   5.9e-21   3.9e-17   59.6   0.4  1102  1166  1631  1701  1628  1703 0.88 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9  10  11  3.1e-135    2e-131  438.4  20.4  1166  1502  1735  2112  1733  2120 0.92 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528800.1-p1   -           2274 449at5820            -           1612         0 2084.6 122.9  11  11   2.5e-51   1.6e-47  160.3   1.1  1490  1612  2126  2272  2119  2272 0.87 | transcript=PVP01_0528800.1 | gene=PVP01_0528800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1184975-1192321(+) | protein_length=2274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
