#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1259000.1-p1   -           1222 1841at5820           -            929         0 1701.1  87.0   1   4    1e-148  2.6e-146  487.9  22.5     1   263     1   276     1   283 0.96 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 1841at5820           -            929         0 1701.1  87.0   2   4   3.7e-72   9.7e-70  234.5  17.3   257   420   336   512   326   515 0.90 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 1841at5820           -            929         0 1701.1  87.0   3   4   1.2e-57   3.1e-55  186.5   2.8   419   537   594   727   587   732 0.93 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 1841at5820           -            929         0 1701.1  87.0   4   4  2.9e-246  7.6e-244  810.7  20.6   538   928   817  1215   811  1216 0.99 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 1841at5820           -            929   7.1e-20   69.5  10.5   1   3   4.2e-13   1.1e-10   39.1   3.8    80   197    50   159    29   163 0.88 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 1841at5820           -            929   7.1e-20   69.5  10.5   2   3   1.1e-06   0.00028   17.9   0.1    72   139   168   234   159   247 0.85 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 1841at5820           -            929   7.1e-20   69.5  10.5   3   3   2.5e-08   6.5e-06   23.3   0.1    36   135   224   321   223   324 0.93 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1841at5820           -            929     3e-17   60.8  14.6   1   5   1.4e-07   3.8e-05   20.8   0.0    91   158   103   171    88   173 0.87 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1841at5820           -            929     3e-17   60.8  14.6   2   5   1.5e-08     4e-06   24.0   0.1    73   159   127   214   121   226 0.90 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1841at5820           -            929     3e-17   60.8  14.6   3   5   8.5e-06    0.0022   14.9   1.8    84   162   343   424   337   447 0.79 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1841at5820           -            929     3e-17   60.8  14.6   4   5   3.2e-06   0.00084   16.3   0.1   105   188   491   566   461   570 0.64 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 1841at5820           -            929     3e-17   60.8  14.6   5   5   0.00074      0.19    8.5   0.1   575   611   623   659   616   660 0.88 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
