#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1435500.1-p1   -           1104 2816at5820           -            697         0 1282.8  42.4   1   5    0.0036       4.7    4.1   0.3     1    50     1    49     1    72 0.69 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 2816at5820           -            697         0 1282.8  42.4   2   5   6.6e-06    0.0087   13.1   0.3    61    82   285   306   270   336 0.79 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 2816at5820           -            697         0 1282.8  42.4   3   5     0.026        34    1.2   1.1    24   102   339   416   332   420 0.65 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 2816at5820           -            697         0 1282.8  42.4   4   5   3.9e-27   5.1e-24   83.3   0.2   100   152   461   513   450   517 0.91 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 2816at5820           -            697         0 1282.8  42.4   5   5         0         0 1197.2  17.3   147   697   546  1096   522  1096 0.98 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 2816at5820           -            697   1.2e-98  329.9   6.2   1   1  1.2e-101   1.5e-98  329.6   6.2   105   683   245   832   224   842 0.90 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 2816at5820           -            697   4.8e-75  251.9  13.2   1   1   4.9e-78   6.4e-75  251.5  13.2    63   579   158   680   138   743 0.85 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 2816at5820           -            697   1.6e-38  131.2  10.5   1   2   1.3e-24   1.7e-21   74.9   2.3   103   315    44   271    26   283 0.79 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 2816at5820           -            697   1.6e-38  131.2  10.5   2   2   3.9e-20   5.1e-17   60.1   1.3   372   671   349   639   339   652 0.78 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 2816at5820           -            697     1e-19   69.1   7.8   1   4   1.4e-13   1.9e-10   38.4   0.1   107   312    66   260    61   271 0.78 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 2816at5820           -            697     1e-19   69.1   7.8   2   4   6.4e-08   8.4e-05   19.7   0.1   364   476   364   471   356   478 0.86 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
