#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   1  16  2.4e-181  1.6e-177  591.3  79.5     1   351     1   403     1   411 0.89 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   2  16     3e-18     2e-14   50.3   5.5   341   398   485   545   476   554 0.87 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   3  16   2.1e-49   1.4e-45  153.7   7.7   366   486   558   678   549   701 0.92 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   4  16   7.9e-48   5.2e-44  148.5  11.9   481   579   753   852   741   866 0.90 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   5  16   4.6e-70     3e-66  222.2  18.0   575   722   885  1034   880  1062 0.85 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   6  16   1.5e-42   9.7e-39  131.0   7.1   712   802  1273  1364  1256  1404 0.88 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   7  16   5.7e-41   3.7e-37  125.7   1.5   793   879  1427  1514  1411  1528 0.90 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   8  16  1.3e-128  8.4e-125  416.4  37.3   870  1146  1564  1878  1557  1890 0.89 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   9  16     6e-19   3.9e-15   52.7   0.2  1146  1191  1999  2044  1991  2065 0.92 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  10  16    1e-124  6.7e-121  403.4  46.7  1190  1409  2161  2380  2154  2393 0.98 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  11  16   6.5e-21   4.3e-17   59.2   0.1  1405  1446  2490  2531  2484  2547 0.94 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  12  16    1e-103  6.6e-100  333.8  21.2  1440  1657  2653  2893  2646  2907 0.91 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  13  16   7.5e-19   4.9e-15   52.3   0.2  1656  1728  2946  3029  2937  3037 0.77 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
