#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   1  10   1.9e-39   1.2e-35  121.4   3.6     7    79    93   165    89   173 0.94 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   2  10   1.4e-38   8.9e-35  118.5  16.4    72   178   214   342   203   349 0.82 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   3  10   4.6e-17     3e-13   47.3   4.6   167   217   360   410   354   431 0.84 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   4  10   6.9e-16   4.5e-12   43.4   4.2   209   248   450   489   442   515 0.86 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   5  10  6.4e-247  4.2e-243  807.9 103.9   244   690   521   969   513   975 0.97 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   6  10     1e-06    0.0065   13.1  15.4   678   793  1035  1157  1028  1163 0.64 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   7  10     3e-15     2e-11   41.3   3.9   711   756  1267  1312  1250  1335 0.83 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   8  10    0.0058        38    0.6   0.1   749   766  1344  1361  1328  1365 0.79 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3   9  10   2.1e-22   1.4e-18   65.0  10.7   749   817  1547  1615  1520  1637 0.84 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004100.1-p1   -           1830 2424at5820           -            906         0 1388.6 240.3  10  10   1.2e-57   7.9e-54  181.6  10.1   806   906  1728  1828  1705  1828 0.95 | transcript=PVP01_1004100.1 | gene=PVP01_1004100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:202612-208104(-) | protein_length=1830 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2424at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2424at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2424at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:58 2026
# [ok]
