#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   1  12   2.8e-25   1.8e-21   74.1   0.6    30   107   677   756   666   760 0.91 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   2  12  4.6e-133    3e-129  431.2  25.0   106   371   781  1072   776  1081 0.90 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   3  12   1.2e-35   7.8e-32  108.4   0.1   366   442  1112  1189  1104  1206 0.92 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   4  12   2.6e-75   1.7e-71  239.8   8.3   453   605  1275  1445  1270  1477 0.89 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   5  12   2.3e-74   1.5e-70  236.7  15.8   605   741  1477  1613  1463  1626 0.95 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   6  12   3.2e-30   2.1e-26   90.4   1.4   740   818  1666  1744  1661  1756 0.92 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   7  12   1.3e-07   0.00084   15.5   0.0   819   850  1779  1810  1775  1840 0.86 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   8  12   2.7e-27   1.8e-23   80.7   0.2   860   920  1891  1955  1885  1964 0.87 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0   9  12   9.7e-68   6.3e-64  214.7   8.3   921  1062  1995  2136  1992  2154 0.95 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0  10  12   1.2e-06     0.008   12.3   0.7  1056  1083  2244  2271  2240  2273 0.92 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817500.1-p1   -           2699 590at5820            -           1357         0 1768.0 145.0  11  12   3.5e-50   2.3e-46  156.6   2.3  1066  1226  2308  2498  2298  2513 0.82 | transcript=PVP01_0817500.1 | gene=PVP01_0817500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:756756-765038(+) | protein_length=2699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
