#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0207800.1-p1   -            168 12840at5820          -            154  2.5e-101  334.7  17.9   1   1  8.3e-104  2.9e-101  334.5  17.9     1   154    15   168    15   168 1.00 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 12840at5820          -            154   5.3e-65  216.7  12.6   1   1   1.9e-67   6.5e-65  216.4  12.6     1   154    26   179    26   179 0.99 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 12840at5820          -            154   7.6e-49  164.3   8.1   1   1   2.6e-51     9e-49  164.0   8.1     7   152    21   166    16   168 0.96 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12840at5820          -            154   2.6e-43  146.3  10.5   1   1   8.1e-46   2.8e-43  146.2  10.5     5   148     3   146     1   149 0.98 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 12840at5820          -            154   1.7e-31  107.9   7.8   1   1   6.4e-34   2.2e-31  107.5   7.8     3   148     7   152     5   156 0.97 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 12840at5820          -            154   4.1e-14   51.5   2.0   1   1   2.4e-16   8.4e-14   50.4   2.0     8   151   458   603   454   604 0.81 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12840at5820          -            154   4.7e-10   38.3   6.0   1   1   7.3e-12   2.5e-09   35.9   6.0    13   150   380   525   369   529 0.77 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 12840at5820          -            154   5.9e-10   38.0   7.6   1   1   3.3e-12   1.1e-09   37.0   7.6    17   148    32   164    11   169 0.83 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 12840at5820          -            154     8e-10   37.5   9.5   1   2       5.7     2e+03   -2.7   0.1    54    74   277   296   268   313 0.75 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 12840at5820          -            154     8e-10   37.5   9.5   2   2   2.3e-12     8e-10   37.5   9.5    10   150   374   519   368   522 0.79 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12840at5820          -            154   1.5e-09   36.6   8.7   1   3       6.4   2.2e+03   -2.9   0.0     8    35   322   351   319   366 0.65 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12840at5820          -            154   1.5e-09   36.6   8.7   2   3   6.9e-06    0.0024   16.5   0.4     6    73   417   483   414   489 0.88 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12840at5820          -            154   1.5e-09   36.6   8.7   3   3   4.2e-08   1.4e-05   23.7   0.8    11    76   493   560   487   562 0.90 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12840at5820          -            154   3.4e-08   32.2   6.7   1   2   2.9e-10     1e-07   30.7   1.6    71   144    31   104    21   117 0.89 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12840at5820          -            154   3.4e-08   32.2   6.7   2   2     0.039        13    4.3   0.3    91   137   128   175   109   194 0.68 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 12840at5820          -            154   2.1e-07   29.6   0.4   1   1   9.6e-10   3.3e-07   29.0   0.4    11   129    75   190    67   202 0.86 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103100.1-p1   -            107 12840at5820          -            154   2.2e-07   29.6   0.3   1   1     8e-10   2.7e-07   29.3   0.3     6    72    39   101    34   106 0.91 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
