#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1444700.1-p1   -           1244 2119at5820           -            997         0 1663.2  17.1   1   2         0         0 1420.4   7.0     2   818    36   969    33   973 0.94 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 2119at5820           -            997         0 1663.2  17.1   2   2   3.7e-75   1.1e-72  243.7   2.4   816   997   995  1222   988  1222 0.91 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 2119at5820           -            997   7.7e-26   88.7  48.3   1   2    0.0012      0.34    7.1   0.3   219   272    98   151    77   154 0.70 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 2119at5820           -            997   7.7e-26   88.7  48.3   2   2   4.6e-27   1.3e-24   84.6  43.2   304   724   154   561   144   567 0.83 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 2119at5820           -            997   1.8e-16   57.6  28.4   1   3       9.5   2.8e+03   -5.9   4.2   271   295    58    80    48    92 0.37 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 2119at5820           -            997   1.8e-16   57.6  28.4   2   3   4.7e-15   1.4e-12   44.8   5.2   296   397   242   343   150   351 0.88 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 2119at5820           -            997   1.8e-16   57.6  28.4   3   3   9.3e-10   2.7e-07   27.3  15.2   544   811   347   631   340   638 0.80 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236200.1-p1   -            443 2119at5820           -            997   3.2e-10   37.0   0.4   1   1   1.7e-12   5.1e-10   36.3   0.4   853   936   341   421   324   442 0.75 | transcript=PVP01_1236200.1 | gene=PVP01_1236200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein RAP21, putative | transcript_product=RAP protein RAP21, putative | location=PvP01_12_v2:1440485-1441985(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 2119at5820           -            997   4.5e-09   33.2  21.9   1   4   5.8e-09   1.7e-06   24.6   2.6   270   400   278   410   260   417 0.83 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 2119at5820           -            997   4.5e-09   33.2  21.9   2   4    0.0011      0.32    7.2   0.3   526   585   429   488   416   498 0.85 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 2119at5820           -            997   4.5e-09   33.2  21.9   3   4      0.17        50   -0.1   0.7   733   810   685   763   667   767 0.80 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
