#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1341400.1-p1   -            663 6804at5820           -            559  2.1e-277  919.7  68.8   1   1    7e-279  5.7e-276  915.0  68.8     4   559    27   663    24   663 0.87 | transcript=PVP01_1341400.1 | gene=PVP01_1341400 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 38B, putative | transcript_product=pre-mRNA-splicing factor 38B, putative | location=PvP01_13_v2:1821527-1824511(-) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933400.1-p1   -            404 6804at5820           -            559   8.3e-08   29.7   0.7   1   3     1e-10   8.3e-08   29.7   0.7   102   244    18   160     3   169 0.83 | transcript=PVP01_0933400.1 | gene=PVP01_0933400 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 38A, putative | transcript_product=pre-mRNA-splicing factor 38A, putative | location=PvP01_09_v2:1430882-1432262(-) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933400.1-p1   -            404 6804at5820           -            559   8.3e-08   29.7   0.7   2   3     0.025        21    2.0  46.4   349   447   229   330   218   334 0.56 | transcript=PVP01_0933400.1 | gene=PVP01_0933400 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 38A, putative | transcript_product=pre-mRNA-splicing factor 38A, putative | location=PvP01_09_v2:1430882-1432262(-) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933400.1-p1   -            404 6804at5820           -            559   8.3e-08   29.7   0.7   3   3         8   6.5e+03   -8.6  40.7   349   444   298   394   297   401 0.52 | transcript=PVP01_0933400.1 | gene=PVP01_0933400 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 38A, putative | transcript_product=pre-mRNA-splicing factor 38A, putative | location=PvP01_09_v2:1430882-1432262(-) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 6804at5820           -            559   0.00023   18.4  31.5   1   1   5.4e-07   0.00044   17.4  31.5   358   444   152   236    93   307 0.51 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 6804at5820           -            559      0.12    9.4  48.2   1   1   0.00019      0.15    9.0  48.2   326   453   192   313   160   314 0.46 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 6804at5820           -            559      0.43    7.6  22.0   1   1    0.0007      0.57    7.2  22.0   338   453    65   180    52   219 0.40 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0119500.1-p1   -            336 6804at5820           -            559       1.3    6.0  24.4   1   1    0.0021       1.7    5.6  24.4   363   460    90   185    41   219 0.40 | transcript=PVP01_0119500.1 | gene=PVP01_0119500 | organism=Plasmodium_vivax_P01 | gene_product=ring-exported protein 3, putative | transcript_product=ring-exported protein 3, putative | location=PvP01_01_v2:897799-899011(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208200.1-p1   -            292 6804at5820           -            559       8.4    3.3  44.4   1   1     0.014        11    2.9  44.4   352   436    56   139    34   153 0.51 | transcript=PVP01_0208200.1 | gene=PVP01_0208200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:342180-343058(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 6804at5820           -            559       9.7    3.1  23.6   1   2   0.00024       0.2    8.7  16.7   368   435   691   748   685   772 0.49 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462300.1-p1   -           1181 6804at5820           -            559       9.7    3.1  23.6   2   2       1.2   9.4e+02   -3.5   0.6    17    55   952   990   941   999 0.69 | transcript=PVP01_1462300.1 | gene=PVP01_1462300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2686337-2689882(-) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
