#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1005400.1-p1   -            437 8463at5820           -            312  1.1e-174  578.4  42.9   1   2   5.3e-06    0.0029   15.4   8.7     5    41    31    71    23    75 0.76 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005400.1-p1   -            437 8463at5820           -            312  1.1e-174  578.4  42.9   2   2    3e-174  1.7e-171  568.0  26.2    21   311   121   435   113   436 0.94 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 8463at5820           -            312   1.8e-55  186.9  10.2   1   1   4.3e-58   2.3e-55  186.5  10.2    46   296    27   272    11   279 0.91 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139200.1-p1   -            284 8463at5820           -            312   2.3e-31  107.7  24.3   1   1   3.2e-33   1.7e-30  104.8  24.3    38   296    18   272     9   283 0.73 | transcript=PVP01_1139200.1 | gene=PVP01_1139200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=PvP01_11_v2:1657663-1659306(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 8463at5820           -            312   9.9e-30  102.3  11.0   1   1   2.4e-32   1.3e-29  101.9  11.0    85   292    27   232     4   251 0.72 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409100.1-p1   -            272 8463at5820           -            312   6.6e-20   70.0  16.2   1   1   2.7e-22   1.5e-19   68.9  16.2    71   291    42   254     5   267 0.66 | transcript=PVP01_0409100.1 | gene=PVP01_0409100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=PvP01_04_v2:369394-371760(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 8463at5820           -            312   2.6e-17   61.5  21.8   1   2   4.8e-20   2.6e-17   61.5  21.8    45   277    43   290     3   312 0.66 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 8463at5820           -            312   2.6e-17   61.5  21.8   2   2       1.8   9.8e+02   -2.8   0.1    23    61   752   790   738   802 0.71 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 8463at5820           -            312     4e-15   54.3  24.6   1   1   1.2e-17   6.4e-15   53.6  24.6    81   255    60   243    25   257 0.68 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 8463at5820           -            312   1.1e-13   49.6  19.4   1   1   3.1e-16   1.7e-13   49.0  19.4    39   221    36   218    17   275 0.70 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 8463at5820           -            312   2.9e-11   41.6  10.6   1   1   8.3e-14   4.5e-11   41.0  10.6   132   241   297   404   291   417 0.81 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
