#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0418600.1-p1   -            106 14551at5820          -             99   2.7e-60  199.5  13.2   1   1   3.2e-63   3.4e-60  199.2  13.2     1    99     1   106     1   106 0.95 | transcript=PVP01_0418600.1 | gene=PVP01_0418600 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC10, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC10, putative | location=PvP01_04_v2:766922-767446(+) | protein_length=106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423600.1-p1   -            435 14551at5820          -             99   1.4e-08   33.7   0.8   1   4       3.4   3.7e+03   -3.0   0.0    53    76    35    58    27    66 0.58 | transcript=PVP01_1423600.1 | gene=PVP01_1423600 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=PvP01_14_v2:1039797-1041104(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423600.1-p1   -            435 14551at5820          -             99   1.4e-08   33.7   0.8   2   4       2.5   2.7e+03   -2.6   0.2    61    61   112   112    82   143 0.57 | transcript=PVP01_1423600.1 | gene=PVP01_1423600 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=PvP01_14_v2:1039797-1041104(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423600.1-p1   -            435 14551at5820          -             99   1.4e-08   33.7   0.8   3   4       2.2   2.4e+03   -2.4   0.3    31    52   311   332   292   348 0.65 | transcript=PVP01_1423600.1 | gene=PVP01_1423600 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=PvP01_14_v2:1039797-1041104(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423600.1-p1   -            435 14551at5820          -             99   1.4e-08   33.7   0.8   4   4   1.2e-11   1.4e-08   33.7   0.8    46    98   382   434   354   435 0.78 | transcript=PVP01_1423600.1 | gene=PVP01_1423600 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=PvP01_14_v2:1039797-1041104(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306600.1-p1   -            463 14551at5820          -             99   1.1e-06   27.5   3.0   1   2      0.94     1e+03   -1.2   0.5    21    36   293   309   275   321 0.61 | transcript=PVP01_0306600.1 | gene=PVP01_0306600 | organism=Plasmodium_vivax_P01 | gene_product=transcription factor, putative | transcript_product=transcription factor, putative | location=PvP01_03_v2:330806-332197(+) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306600.1-p1   -            463 14551at5820          -             99   1.1e-06   27.5   3.0   2   2     1e-09   1.1e-06   27.5   3.0    30    95   394   457   374   460 0.83 | transcript=PVP01_0306600.1 | gene=PVP01_0306600 | organism=Plasmodium_vivax_P01 | gene_product=transcription factor, putative | transcript_product=transcription factor, putative | location=PvP01_03_v2:330806-332197(+) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204700.1-p1   -            252 14551at5820          -             99   0.00024   20.1   7.0   1   1   5.8e-07   0.00063   18.7   7.0     3    98     5   115     3   118 0.66 | transcript=PVP01_0204700.1 | gene=PVP01_0204700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB9, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB9, putative | location=PvP01_02_v2:224299-225305(+) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322300.1-p1   -           1148 14551at5820          -             99    0.0025   16.8   0.6   1   2       2.4   2.6e+03   -2.5   1.2    21    52   238   269   225   278 0.65 | transcript=PVP01_1322300.1 | gene=PVP01_1322300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1008084-1011530(-) | protein_length=1148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322300.1-p1   -           1148 14551at5820          -             99    0.0025   16.8   0.6   2   2   2.3e-06    0.0025   16.8   0.6    28    89   851   912   825   925 0.85 | transcript=PVP01_1322300.1 | gene=PVP01_1322300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1008084-1011530(-) | protein_length=1148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458500.1-p1   -           2020 14551at5820          -             99     0.004   16.1   1.3   1   1   8.1e-06    0.0088   15.0   1.3     2    52  1003  1052  1002  1072 0.79 | transcript=PVP01_1458500.1 | gene=PVP01_1458500 | organism=Plasmodium_vivax_P01 | gene_product=female development protein FD1, putative | transcript_product=female development protein FD1, putative | location=PvP01_14_v2:2552178-2558240(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
