#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   1   8   1.2e-27   2.6e-24   83.8   5.6     1    74    30   113    30   119 0.88 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   2   8   2.9e-16   6.4e-13   46.1   0.8    71   114   194   241   189   251 0.85 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   3   8    2e-275  4.3e-272  904.2  59.4    84   588   331   852   320   857 0.93 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   4   8   3.8e-52   8.3e-49  164.9  15.5   581   694   967  1084   959  1087 0.93 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   5   8   1.4e-09     3e-06   24.0   0.0   686   720  1108  1143  1102  1146 0.84 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   6   8   1.5e-79   3.3e-76  255.6  14.1   720   854  1187  1321  1184  1334 0.96 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   7   8   3.3e-15   7.2e-12   42.6   0.7   854   894  1409  1449  1399  1454 0.86 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   8   8    1e-100   2.2e-97  325.7  15.7   887  1057  1470  1641  1465  1641 0.97 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1254at5820           -           1057   4.3e-49  165.9 105.1   1   6   5.5e-28   1.2e-24   84.9  33.9   140   529   573   980   540   986 0.79 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1254at5820           -           1057   4.3e-49  165.9 105.1   2   6   0.00079       1.7    5.0  13.0   489   596  1016  1120   985  1159 0.68 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1254at5820           -           1057   4.3e-49  165.9 105.1   3   6   9.2e-15     2e-11   41.2   8.2   593   659  1261  1326  1229  1365 0.75 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
