#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0614900.1-p1   -            441 5959at5820           -            374  4.3e-225  745.0  16.3   1   1  9.2e-228    1e-224  743.8  16.3     1   365     1   401     1   406 0.94 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236200.1-p1   -            443 5959at5820           -            374   2.6e-11   41.5   0.2   1   1   3.7e-14   4.1e-11   40.8   0.2   308   367   347   406   337   411 0.90 | transcript=PVP01_1236200.1 | gene=PVP01_1236200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein RAP21, putative | transcript_product=RAP protein RAP21, putative | location=PvP01_12_v2:1440485-1441985(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 5959at5820           -            374   2.5e-07   28.4   0.0   1   1     6e-10   6.5e-07   27.0   0.0   256   356   334   433   320   442 0.92 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 5959at5820           -            374   0.00094   16.6   0.0   1   4     0.037        40    1.3   0.8   132   174    82   123    66   143 0.77 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 5959at5820           -            374   0.00094   16.6   0.0   2   4      0.24   2.6e+02   -1.3   0.4   112   204   196   293   187   295 0.71 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 5959at5820           -            374   0.00094   16.6   0.0   3   4     0.061        66    0.6   0.0   237   301   715   780   677   793 0.75 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 5959at5820           -            374   0.00094   16.6   0.0   4   4   8.7e-07   0.00094   16.6   0.0   309   358   849   898   837   909 0.83 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217300.1-p1   -            635 5959at5820           -            374     0.003   14.9   4.9   1   1   4.1e-06    0.0045   14.4   4.9   134   249   439   554   398   573 0.76 | transcript=PVP01_1217300.1 | gene=PVP01_1217300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:723048-725355(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5959at5820           -            374     0.023   12.0  10.7   1   4      0.04        43    1.3   0.6   153   266   450   566   431   575 0.59 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5959at5820           -            374     0.023   12.0  10.7   2   4       1.2   1.4e+03   -3.7   0.0    59   113   644   699   635   704 0.59 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5959at5820           -            374     0.023   12.0  10.7   3   4    0.0013       1.4    6.1   0.0   244   297   905   961   885   965 0.74 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5959at5820           -            374     0.023   12.0  10.7   4   4   0.00015      0.17    9.2   0.5   307   356  1041  1090  1030  1108 0.84 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5959at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5959at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5959at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:15 2026
# [ok]
