#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0614000.1-p1   -            371 8597at5820           -            287  2.4e-134  445.4   8.7   1   1    3e-137  3.3e-134  445.0   8.7     1   280     1   311     1   317 0.91 | transcript=PVP01_0614000.1 | gene=PVP01_0614000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=PvP01_06_v2:592922-594177(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 8597at5820           -            287   9.7e-05   20.1  29.6   1   1   1.9e-07    0.0002   19.0  29.6    24   217    39   237    24   258 0.71 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 8597at5820           -            287   0.00076   17.2  64.6   1   2   0.00014      0.16    9.6  24.1    40   121   103   186    84   189 0.56 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 8597at5820           -            287   0.00076   17.2  64.6   2   2   0.00019       0.2    9.2  33.2    42   171   189   324   186   405 0.77 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 8597at5820           -            287     0.026   12.1  32.2   1   3    0.0005      0.55    7.8   9.3    24    89    58   133    43   136 0.76 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 8597at5820           -            287     0.026   12.1  32.2   2   3   0.00025      0.27    8.8  12.4    53   109   135   187   131   197 0.79 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 8597at5820           -            287     0.026   12.1  32.2   3   3     0.035        38    1.7   0.2    47    67   209   230   191   235 0.74 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 8597at5820           -            287      0.23    9.0  39.3   1   2   8.5e-06    0.0092   13.6  26.6    37   121    36   122     5   130 0.79 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 8597at5820           -            287      0.23    9.0  39.3   2   2     0.042        46    1.5   3.6    43    80   138   175   127   187 0.88 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 8597at5820           -            287       9.7    3.7  37.3   1   2      0.58   6.3e+02   -2.3  17.2    39   119   125   208   114   224 0.72 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 8597at5820           -            287       9.7    3.7  37.3   2   2   0.00031      0.34    8.5  13.4    54    97   236   279   215   282 0.86 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
