#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   1   7   8.1e-35   2.7e-31  107.2   3.7    13   114   109   235   102   307 0.74 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   2   7   1.6e-10   5.3e-07   26.9   0.4   108   142   309   343   304   354 0.88 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   3   7   1.1e-45   3.4e-42  143.2   2.1   150   237   509   596   495   608 0.92 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   4   7   1.5e-24   4.9e-21   73.3   0.1   234   297   627   697   621   706 0.88 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   5   7  3.5e-158  1.2e-154  515.1  20.7   295   622   726  1069   718  1073 0.94 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   6   7   1.3e-09   4.1e-06   24.0   1.5   622   650  1100  1128  1093  1134 0.89 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345500.1-p1   -           1263 2335at5820           -            732  2.3e-293  973.6  75.5   7   7   8.5e-37   2.8e-33  113.8   6.3   651   728  1171  1248  1163  1253 0.93 | transcript=PVP01_1345500.1 | gene=PVP01_1345500 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_13_v2:1980207-1983998(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033300.1-p1   -            780 2335at5820           -            732   6.3e-08   30.0  23.5   1   4      0.21   6.7e+02   -3.2   1.3    92   132   105   145    84   185 0.71 | transcript=PVP01_1033300.1 | gene=PVP01_1033300 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=PvP01_10_v2:1414935-1417277(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033300.1-p1   -            780 2335at5820           -            732   6.3e-08   30.0  23.5   2   4      0.11   3.6e+02   -2.3   0.3   239   268   190   219   185   229 0.82 | transcript=PVP01_1033300.1 | gene=PVP01_1033300 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=PvP01_10_v2:1414935-1417277(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033300.1-p1   -            780 2335at5820           -            732   6.3e-08   30.0  23.5   3   4   0.00054       1.8    5.3   3.1   445   497   436   487   416   496 0.79 | transcript=PVP01_1033300.1 | gene=PVP01_1033300 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=PvP01_10_v2:1414935-1417277(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033300.1-p1   -            780 2335at5820           -            732   6.3e-08   30.0  23.5   4   4   1.9e-11   6.3e-08   30.0  23.5   441   604   500   662   490   775 0.80 | transcript=PVP01_1033300.1 | gene=PVP01_1033300 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 3, putative | transcript_product=anaphase-promoting complex subunit 3, putative | location=PvP01_10_v2:1414935-1417277(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2335at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2335at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2335at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
