#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0728700.1-p1   -            635 6365at5820           -            498  1.1e-229  761.5  65.5   1   3   9.1e-82   5.4e-79  264.5  25.1     1   183    23   226    23   232 0.93 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 6365at5820           -            498  1.1e-229  761.5  65.5   2   3   1.5e-60   8.6e-58  194.6   1.4   179   324   264   418   258   427 0.94 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 6365at5820           -            498  1.1e-229  761.5  65.5   3   3   8.6e-97   5.1e-94  314.1  23.8   322   498   457   633   453   633 0.99 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 6365at5820           -            498   1.7e-32  111.1  66.2   1   4   8.4e-11     5e-08   30.4  12.8    76   151     7    80     2    81 0.88 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 6365at5820           -            498   1.7e-32  111.1  66.2   2   4     2e-19   1.2e-16   58.9  19.1    65   151    60   146    59   147 0.97 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 6365at5820           -            498   1.7e-32  111.1  66.2   3   4   5.8e-08   3.4e-05   21.1   4.9    57   123   140   207   139   208 0.91 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 6365at5820           -            498   1.7e-32  111.1  66.2   4   4   1.4e-12   8.6e-10   36.2  16.5    64   146   192   278   183   307 0.78 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   1   8   3.1e-10   1.9e-07   28.5  10.4    55   146    39   131    16   136 0.88 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   2   8   2.3e-07   0.00014   19.1   2.0   111   163   140   192   136   226 0.89 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   3   8    0.0049       2.9    4.8   0.1    83   165   794   883   772   897 0.53 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   4   8     1e-05     0.006   13.7   7.2    85   151   972  1039   966  1040 0.91 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
