#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1251100.1-p1   -           1607 521at5820            -           1406         0 2688.4  70.8   1   2         0         0 2556.1  34.2     5  1291    17  1412    13  1440 0.96 | transcript=PVP01_1251100.1 | gene=PVP01_1251100 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=PvP01_12_v2:2085226-2090197(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251100.1-p1   -           1607 521at5820            -           1406         0 2688.4  70.8   2   2   4.6e-44   7.5e-41  138.1  28.7  1270  1406  1452  1607  1438  1607 0.85 | transcript=PVP01_1251100.1 | gene=PVP01_1251100 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=PvP01_12_v2:2085226-2090197(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270400.1-p1   -           1626 521at5820            -           1406    8e-140  466.0  73.5   1   2  2.7e-127  4.4e-124  413.8  27.4     9   784    18   843    11   855 0.86 | transcript=PVP01_1270400.1 | gene=PVP01_1270400 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=PvP01_12_v2:2970082-2974962(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270400.1-p1   -           1626 521at5820            -           1406    8e-140  466.0  73.5   2   2   8.5e-19   1.4e-15   54.3  38.1   820  1385   927  1588   913  1592 0.70 | transcript=PVP01_1270400.1 | gene=PVP01_1270400 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=PvP01_12_v2:2970082-2974962(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 521at5820            -           1406   8.6e-26   88.1   4.3   1   4   3.9e-05     0.064    9.0   0.0   715   777   309   370   291   396 0.80 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 521at5820            -           1406   8.6e-26   88.1   4.3   2   4   7.5e-07    0.0012   14.7   0.1   693   786   692   785   678   795 0.73 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 521at5820            -           1406   8.6e-26   88.1   4.3   3   4     7e-15   1.1e-11   41.4   0.4   688   798  1086  1198  1077  1212 0.83 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1341700.1-p1   -           1306 521at5820            -           1406   8.6e-26   88.1   4.3   4   4   8.2e-09   1.3e-05   21.2   0.0   711   785  1221  1293  1205  1304 0.84 | transcript=PVP01_1341700.1 | gene=PVP01_1341700 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_13_v2:1832422-1836342(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206000.1-p1   -           1089 521at5820            -           1406   2.7e-06   23.6   0.1   1   1   2.4e-09   3.9e-06   23.0   0.1   696   782   752   842   732   845 0.80 | transcript=PVP01_0206000.1 | gene=PVP01_0206000 | organism=Plasmodium_vivax_P01 | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=PvP01_02_v2:249334-252807(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/521at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/521at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/521at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:53 2026
# [ok]
