#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0946200.1-p1   -            783 4072at5820           -            548  9.4e-295  976.7  56.8   1   2  1.9e-172    9e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 4072at5820           -            548  9.4e-295  976.7  56.8   2   2  2.8e-128  1.3e-125  418.4  13.2   325   548   552   781   549   781 0.97 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4072at5820           -            548   5.7e-52  175.3  78.9   1   4     4e-10   1.9e-07   28.4  29.8    59   432    86   489    47   498 0.70 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4072at5820           -            548   5.7e-52  175.3  78.9   2   4   2.7e-23   1.3e-20   71.9   2.0   434   542   547   655   524   659 0.90 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4072at5820           -            548   5.7e-52  175.3  78.9   3   4     0.006       2.8    4.7  23.1    25   389   814  1226   805  1248 0.68 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4072at5820           -            548   5.7e-52  175.3  78.9   4   4   1.8e-27   8.4e-25   85.7   1.2   379   541  1271  1431  1249  1436 0.94 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 4072at5820           -            548   2.1e-44  150.4  27.0   1   2       6.7   3.1e+03   -5.4   7.1   200   296    19   118     8   177 0.79 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 4072at5820           -            548   2.1e-44  150.4  27.0   2   2   4.5e-47   2.1e-44  150.4  27.0    28   545   360   906   331   909 0.83 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 4072at5820           -            548   2.7e-41  140.1  86.2   1   3   2.5e-21   1.2e-18   65.4  43.4     4   326   187   519   171   524 0.78 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 4072at5820           -            548   2.7e-41  140.1  86.2   2   3   5.2e-07   0.00024   18.1  20.5   275   426   959  1118   954  1125 0.81 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 4072at5820           -            548   2.7e-41  140.1  86.2   3   3   4.6e-22   2.2e-19   67.8   6.3   435   545  1235  1341  1207  1344 0.92 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 4072at5820           -            548     9e-34  115.3  65.0   1   2   0.00018     0.084    9.7  41.3    24   252   329   579   300   604 0.60 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 4072at5820           -            548     9e-34  115.3  65.0   2   2   1.5e-35   6.8e-33  112.4  14.1   339   540   769   967   763   974 0.92 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 4072at5820           -            548   7.6e-25   85.8  31.0   1   3   3.3e-07   0.00015   18.8  16.2    30   295   225   498   208   565 0.69 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 4072at5820           -            548   7.6e-25   85.8  31.0   2   3   3.2e-12   1.5e-09   35.3   1.9   340   439   612   713   605   757 0.87 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
