#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0411400.1-p1   -            477 7442at5820           -            347  4.3e-156  517.9  22.2   1   4   1.9e-65   2.5e-62  209.5   7.8     1   111     1   111     1   121 0.98 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 7442at5820           -            347  4.3e-156  517.9  22.2   2   4   3.6e-27   4.7e-24   83.6   0.4   108   168   149   209   142   212 0.95 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 7442at5820           -            347  4.3e-156  517.9  22.2   3   4   7.2e-45   9.5e-42  141.8   0.2   181   277   279   383   254   388 0.89 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 7442at5820           -            347  4.3e-156  517.9  22.2   4   4   1.6e-29   2.1e-26   91.4   0.0   277   347   402   475   392   475 0.92 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 7442at5820           -            347   6.1e-25   86.6  44.3   1   3   9.6e-14   1.2e-10   39.5   5.3    11   154     7   152     1   179 0.83 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 7442at5820           -            347   6.1e-25   86.6  44.3   2   3   1.7e-06    0.0022   15.7  15.0     9   109   236   340   228   369 0.75 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 7442at5820           -            347   6.1e-25   86.6  44.3   3   3   7.7e-15     1e-11   43.1   8.5    10   106   372   465   364   521 0.83 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459000.1-p1   -            571 7442at5820           -            347   1.4e-14   52.5   8.1   1   1   1.6e-17   2.2e-14   51.9   8.1    10   120   398   505   392   555 0.76 | transcript=PVP01_1459000.1 | gene=PVP01_1459000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_14_v2:2579586-2581301(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107900.1-p1   -           1093 7442at5820           -            347     3e-07   28.4  10.8   1   2       2.2   2.8e+03   -4.4   8.2    77   156    13    94     7   112 0.64 | transcript=PVP01_0107900.1 | gene=PVP01_0107900 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_01_v2:394691-397972(+) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107900.1-p1   -           1093 7442at5820           -            347     3e-07   28.4  10.8   2   2   2.3e-10     3e-07   28.4  10.8    10   117   836   943   827  1017 0.81 | transcript=PVP01_0107900.1 | gene=PVP01_0107900 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_01_v2:394691-397972(+) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 7442at5820           -            347   6.2e-05   20.8   7.8   1   2    0.0084        11    3.5   0.1    11    41   158   188   147   193 0.80 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
