#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0405400.1-p1   -            945 3492at5820           -            673         0 1381.1  51.2   1   4   5.3e-11     7e-08   29.9   4.0     2    36     2    38     1    48 0.85 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 3492at5820           -            673         0 1381.1  51.2   2   4      0.12   1.6e+02   -1.0   0.1    33    45    99   111    74   114 0.82 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 3492at5820           -            673         0 1381.1  51.2   3   4   1.4e-59   1.8e-56  190.4   1.0    42   142   224   324   188   326 0.90 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 3492at5820           -            673         0 1381.1  51.2   4   4         0         0 1174.7  27.2   138   672   390   930   387   931 0.99 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203900.1-p1   -           1105 3492at5820           -            673   2.2e-22   77.8   5.7   1   2   1.7e-25   2.2e-22   77.8   5.7   143   370   261   496   206   499 0.82 | transcript=PVP01_0203900.1 | gene=PVP01_0203900 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_02_v2:189245-192562(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203900.1-p1   -           1105 3492at5820           -            673   2.2e-22   77.8   5.7   2   2         5   6.5e+03  -11.5  11.6   432   524   627   711   568   754 0.51 | transcript=PVP01_0203900.1 | gene=PVP01_0203900 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_02_v2:189245-192562(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243600.1-p1   -            344 3492at5820           -            673     2e-19   68.0   1.9   1   2   0.00022      0.29    8.0   0.1   144   170    15    41     4    46 0.86 | transcript=PVP01_1243600.1 | gene=PVP01_1243600 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=PvP01_12_v2:1771968-1773436(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243600.1-p1   -            344 3492at5820           -            673     2e-19   68.0   1.9   2   2   6.2e-20   8.1e-17   59.4   0.4   202   376    50   226    45   233 0.81 | transcript=PVP01_1243600.1 | gene=PVP01_1243600 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=PvP01_12_v2:1771968-1773436(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458800.1-p1   -            336 3492at5820           -            673   4.7e-18   63.5   4.1   1   2   1.6e-05      0.02   11.8   0.1   132   170     6    44     1    49 0.77 | transcript=PVP01_1458800.1 | gene=PVP01_1458800 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=PvP01_14_v2:2573035-2574453(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458800.1-p1   -            336 3492at5820           -            673   4.7e-18   63.5   4.1   2   2   5.8e-18   7.6e-15   52.9   2.1   188   372    39   219    36   237 0.80 | transcript=PVP01_1458800.1 | gene=PVP01_1458800 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=PvP01_14_v2:2573035-2574453(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407000.1-p1   -            330 3492at5820           -            673   9.4e-15   52.6   4.7   1   2   1.7e-05     0.022   11.7   0.1   141   169     3    31     1    37 0.86 | transcript=PVP01_0407000.1 | gene=PVP01_0407000 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=PvP01_04_v2:290145-291137(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407000.1-p1   -            330 3492at5820           -            673   9.4e-15   52.6   4.7   2   2   8.3e-15   1.1e-11   42.5   0.8   202   371    41   219    29   232 0.75 | transcript=PVP01_0407000.1 | gene=PVP01_0407000 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=PvP01_04_v2:290145-291137(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3492at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3492at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3492at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:03 2026
# [ok]
