#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0108600.1-p1   -            234 11249at5820          -            199  5.2e-118  390.4  12.4   1   2   1.1e-81   9.3e-79  262.2   6.9     1   128     7   134     7   146 0.98 | transcript=PVP01_0108600.1 | gene=PVP01_0108600 | organism=Plasmodium_vivax_P01 | gene_product=EKC/KEOPS complex subunit BUD32, putative | transcript_product=EKC/KEOPS complex subunit BUD32, putative | location=PvP01_01_v2:416241-417586(+) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108600.1-p1   -            234 11249at5820          -            199  5.2e-118  390.4  12.4   2   2   1.1e-41   9.2e-39  131.7   0.3   126   199   156   234   149   234 0.95 | transcript=PVP01_0108600.1 | gene=PVP01_0108600 | organism=Plasmodium_vivax_P01 | gene_product=EKC/KEOPS complex subunit BUD32, putative | transcript_product=EKC/KEOPS complex subunit BUD32, putative | location=PvP01_01_v2:416241-417586(+) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529500.1-p1   -            646 11249at5820          -            199   1.2e-05   23.6   2.5   1   2   1.5e-08   1.2e-05   23.6   2.5    19   136   133   245   119   259 0.81 | transcript=PVP01_0529500.1 | gene=PVP01_0529500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=PvP01_05_v2:1236051-1237991(+) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529500.1-p1   -            646 11249at5820          -            199   1.2e-05   23.6   2.5   2   2         8   6.5e+03   -8.9   7.2    25    51   614   641   600   645 0.49 | transcript=PVP01_0529500.1 | gene=PVP01_0529500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=PvP01_05_v2:1236051-1237991(+) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 11249at5820          -            199   1.7e-05   23.1   2.4   1   1   5.1e-08   4.2e-05   21.8   2.4    41   141   114   222    81   231 0.73 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 11249at5820          -            199   0.00058   18.1   0.8   1   2       3.6   2.9e+03   -3.8   0.1     8    23   119   134   117   137 0.87 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 11249at5820          -            199   0.00058   18.1   0.8   2   2   7.1e-07   0.00058   18.1   0.8    69   139   837   912   766   918 0.67 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 11249at5820          -            199    0.0017   16.6   1.3   1   1   4.1e-06    0.0034   15.6   1.3    41   142    63   170     9   186 0.71 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 11249at5820          -            199    0.0022   16.2   6.8   1   1   7.2e-06    0.0059   14.8   6.8    25   140   509   629   492   634 0.83 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 11249at5820          -            199    0.0083   14.3   1.3   1   1   1.8e-05     0.014   13.5   1.3    40   127  1377  1469  1344  1483 0.78 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 11249at5820          -            199     0.089   10.9   2.4   1   2    0.0014       1.2    7.3   0.2    18    72  2827  2877  2817  2886 0.81 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 11249at5820          -            199     0.089   10.9   2.4   2   2     0.031        26    2.9   0.2    99   138  3068  3109  3031  3117 0.76 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:49 2026
# [ok]
