#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0732800.1-p1   -           1031 2015at5820           -            773         0 1546.4  43.3   1   4   1.1e-58   2.4e-55  186.7   0.2     1    92     1    95     1   135 0.89 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2015at5820           -            773         0 1546.4  43.3   2   4  3.9e-122  8.4e-119  396.6  15.1    93   317   171   420   167   425 0.93 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2015at5820           -            773         0 1546.4  43.3   3   4      0.29   6.3e+02   -3.2   0.0   316   327   478   489   475   494 0.86 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2015at5820           -            773         0 1546.4  43.3   4   4  1.9e-296  4.2e-293  973.0  14.0   328   773   574  1031   570  1031 0.98 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2015at5820           -            773     1e-43  148.2  44.9   1   3   1.5e-10   3.2e-07   27.6   0.1     4    61    21    77    19   102 0.88 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2015at5820           -            773     1e-43  148.2  44.9   2   3   7.6e-33   1.6e-29  101.3  35.2   167   659   183   706   125   723 0.74 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2015at5820           -            773     1e-43  148.2  44.9   3   3   1.1e-09   2.5e-06   24.7   0.3   668   719   741   792   733   815 0.88 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 2015at5820           -            773   4.4e-18   63.5  15.5   1   4     0.099   2.1e+02   -1.6   0.0    37    69    92   123    89   137 0.75 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 2015at5820           -            773   4.4e-18   63.5  15.5   2   4   1.4e-13   3.1e-10   37.5   9.7    64   316   225   479   217   512 0.75 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 2015at5820           -            773   4.4e-18   63.5  15.5   3   4   1.5e-05     0.032   11.0   0.4   459   645   669   885   662   889 0.71 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 2015at5820           -            773   4.4e-18   63.5  15.5   4   4   5.9e-06     0.013   12.4   0.0   676   717   942   983   934   990 0.91 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2015at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2015at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2015at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:47 2026
# [ok]
