#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1311000.1-p1   -            153 7279at5820           -            532  1.6e-110  368.3   5.5   1   1  3.2e-113  1.8e-110  368.2   5.5   229   379     1   151     1   153 1.00 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106100.1-p1   -            128 7279at5820           -            532   8.1e-46  154.8   0.0   1   1   1.5e-48   8.2e-46  154.8   0.0   305   380     1    76     1   113 0.91 | transcript=PVP01_1106100.1 | gene=PVP01_1106100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=PvP01_11_v2:247411-248217(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413900.1-p1   -             76 7279at5820           -            532     4e-22   76.6   0.1   1   1   7.9e-25   4.3e-22   76.5   0.1   305   379     1    75     1    76 0.68 | transcript=PVP01_1413900.1 | gene=PVP01_1413900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=PvP01_14_v2:615074-615591(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 7279at5820           -            532   6.8e-09   33.0   0.0   1   1   1.5e-11   8.2e-09   32.7   0.0   310   374     8    72     1   108 0.55 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 7279at5820           -            532   7.4e-09   32.8   0.2   1   1     2e-11   1.1e-08   32.3   0.2   152   224     6    78     1    83 0.32 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346200.1-p1   -            149 7279at5820           -            532   8.3e-08   29.4   0.1   1   1   1.8e-10   9.6e-08   29.2   0.1    77   152     1    76     1    93 0.38 | transcript=PVP01_1346200.1 | gene=PVP01_1346200 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal protein S27a, putative | transcript_product=ribosomal protein S27a, putative | location=PvP01_13_v2:2013814-2015366(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 7279at5820           -            532   1.3e-05   22.2   0.3   1   1   2.8e-08   1.5e-05   21.9   0.3   305   374     1    69     1   139 0.54 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455900.1-p1   -             73 7279at5820           -            532   0.00039   17.3   0.1   1   1   7.1e-07   0.00039   17.3   0.1   160   219     9    68     1    73 0.33 | transcript=PVP01_1455900.1 | gene=PVP01_1455900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like modifier HUB1, putative | transcript_product=ubiquitin-like modifier HUB1, putative | location=PvP01_14_v2:2427272-2427594(+) | protein_length=73 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415700.1-p1   -            190 7279at5820           -            532    0.0011   15.8   0.1   1   1   2.5e-06    0.0013   15.5   0.1   412   522    58   172    30   179 0.48 | transcript=PVP01_1415700.1 | gene=PVP01_1415700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_14_v2:694385-695110(-) | protein_length=190 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0925900.1-p1   -            246 7279at5820           -            532    0.0014   15.5   0.0   1   1   3.4e-06    0.0019   15.0   0.0   394   438    22    66     7    79 0.40 | transcript=PVP01_0925900.1 | gene=PVP01_0925900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like domain-containing protein, putative | transcript_product=ubiquitin-like domain-containing protein, putative | location=PvP01_09_v2:1149732-1151033(-) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519600.1-p1   -            391 7279at5820           -            532     0.011   12.4   0.1   1   1   2.9e-05     0.016   11.9   0.1    95   280   124   157   113   177 0.40 | transcript=PVP01_0519600.1 | gene=PVP01_0519600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=PvP01_05_v2:805663-807021(+) | protein_length=391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
