#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   1  13  4.4e-119  1.4e-115  386.0   1.3     1   260     1   301     1   303 0.88 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   2  13   1.9e-25   6.2e-22   75.8   0.2   263   346   342   445   340   452 0.78 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   3  13   2.1e-21   6.9e-18   62.4   0.2   341   396   481   536   469   542 0.93 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   4  13   5.8e-17   1.9e-13   47.7   0.4   399   444   627   672   617   677 0.90 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   5  13   1.7e-69   5.7e-66  221.7   9.0   440   648   700   953   687   956 0.84 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   6  13   0.00029      0.94    5.6   0.0   640   682  1092  1136  1087  1149 0.80 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   7  13   1.2e-24   3.9e-21   73.1   3.8   706   759  1255  1308  1229  1321 0.81 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   8  13   1.7e-30   5.6e-27   92.5   0.0   760   833  1442  1515  1439  1539 0.95 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   9  13   2.9e-15   9.3e-12   42.1   0.1   844   894  1614  1670  1601  1703 0.79 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6  10  13   1.8e-75     6e-72  241.5  26.3   909  1149  1746  2035  1729  2041 0.85 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6  11  13   2.4e-33   7.8e-30  102.0   0.7  1145  1216  2067  2138  2055  2142 0.92 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
