#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1323900.1-p1   -           1083 1887at5820           -            670         0 1091.8  61.7   1   5   5.8e-05     0.076    9.8   0.2     1    27     1    27     1    39 0.85 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1887at5820           -            670         0 1091.8  61.7   2   5   3.8e-68     5e-65  218.6   1.0    17   137   124   244   117   245 0.98 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1887at5820           -            670         0 1091.8  61.7   3   5   4.5e-47   5.8e-44  149.0   6.0   137   226   333   437   330   444 0.90 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1887at5820           -            670         0 1091.8  61.7   4   5  8.3e-123  1.1e-119  399.3  10.0   215   458   460   727   445   739 0.89 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1887at5820           -            670         0 1091.8  61.7   5   5  1.5e-103    2e-100  335.6  16.8   456   670   822  1050   816  1050 0.94 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1887at5820           -            670   2.4e-48  163.5  21.0   1   5    0.0015         2    5.1   0.1    18    45   110   137   107   156 0.84 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1887at5820           -            670   2.4e-48  163.5  21.0   2   5   1.9e-51   2.4e-48  163.5  21.0    52   389   265   628   261   634 0.81 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1887at5820           -            670   2.4e-48  163.5  21.0   3   5      0.46   6.1e+02   -3.0   1.8   398   456   706   767   695   772 0.64 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1887at5820           -            670   2.4e-48  163.5  21.0   4   5      0.11   1.5e+02   -1.0   2.0   232   289   873   931   855   938 0.73 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1887at5820           -            670   2.4e-48  163.5  21.0   5   5      0.36   4.7e+02   -2.7   1.2   201   241  1146  1187  1135  1191 0.85 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   1   7     0.077     1e+02   -0.5   5.7   384   484   165   279   151   320 0.73 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   2   7     0.072        94   -0.4   0.0    41    76   368   403   329   406 0.85 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   3   7   1.7e-13   2.2e-10   38.1  31.0    81   483   528   963   514   987 0.66 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   4   7         5   6.5e+03   -6.7  10.0   567   656  1015  1103   975  1120 0.53 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   5   7       1.4   1.8e+03   -4.6   2.5   475   541  1244  1307  1202  1323 0.52 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   6   7   8.1e-16   1.1e-12   45.7   9.0    45   200  1408  1586  1396  1677 0.68 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1887at5820           -            670     1e-25   88.7  72.0   7   7   2.2e-13   2.9e-10   37.7  16.0   271   547  1743  2018  1740  2022 0.79 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1887at5820           -            670   1.5e-21   75.0   2.3   1   1   4.3e-23   5.6e-20   69.8   2.3    38   391   256   653   234   684 0.72 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1887at5820           -            670   9.3e-17   59.1  44.2   1   3   1.7e-15   2.3e-12   44.6  11.7    21   214   304   504   287   532 0.72 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1887at5820           -            670   9.3e-17   59.1  44.2   2   3     3e-10   3.9e-07   27.3  16.0   240   492   612   873   588   898 0.66 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1887at5820           -            670   9.3e-17   59.1  44.2   3   3      0.76   9.9e+02   -3.8   1.2   267   298  1136  1169  1094  1191 0.65 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1887at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1887at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1887at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:10 2026
# [ok]
