#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1446300.1-p1   -            438 9135at5820           -            339    1e-172  572.3  43.2   1   2  1.3e-166  8.6e-164  542.9  38.9     1   307     1   335     1   381 0.88 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 9135at5820           -            339    1e-172  572.3  43.2   2   2   1.4e-08     9e-06   23.4   0.1   302   339   388   425   370   425 0.74 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 9135at5820           -            339   1.3e-18   65.7  86.9   1   4   1.2e-10   7.9e-08   30.2  17.9    20   105    14   100     8   105 0.86 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 9135at5820           -            339   1.3e-18   65.7  86.9   2   4   3.5e-11   2.3e-08   31.9  18.5    22   121    61   153    59   158 0.87 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 9135at5820           -            339   1.3e-18   65.7  86.9   3   4   1.6e-08     1e-05   23.2  12.6    17   125   100   202    97   206 0.81 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 9135at5820           -            339   1.3e-18   65.7  86.9   4   4   9.3e-08   6.1e-05   20.7  13.9    35   149   185   298   166   310 0.78 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 9135at5820           -            339   8.7e-08   30.0  11.7   1   3   0.00051      0.34    8.4   2.0     8    83    15    92    10    94 0.80 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 9135at5820           -            339   8.7e-08   30.0  11.7   2   3   2.1e-09   1.4e-06   26.1   3.5    19    90    73   144    71   147 0.93 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 9135at5820           -            339   8.7e-08   30.0  11.7   3   3    0.0022       1.4    6.3   0.0   116   153   145   185   143   195 0.80 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 9135at5820           -            339   1.3e-07   29.5  29.0   1   3    0.0034       2.3    5.7   2.2    46    88    28    70     8    73 0.80 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 9135at5820           -            339   1.3e-07   29.5  29.0   2   3   4.6e-10     3e-07   28.3  14.3    42   125    68   150    62   153 0.93 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
