#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   1  10   4.3e-11   2.8e-07   26.4   6.0    34    78   163   207   105   216 0.86 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   2  10         0         0 1228.5  74.9    72   778   227   979   223   983 0.94 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   3  10   6.3e-06     0.041    9.3   0.0   773   802  1029  1058  1024  1065 0.87 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   4  10   6.5e-12   4.2e-08   29.1   0.0   805   839  1130  1164  1117  1173 0.90 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   5  10  4.5e-146  2.9e-142  474.0  34.6   834  1166  1209  1613  1205  1632 0.87 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   6  10     4e-38   2.6e-34  116.0   1.9  1164  1246  1658  1748  1652  1752 0.92 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   7  10   3.5e-11   2.3e-07   26.7   1.3  1246  1300  1779  1845  1775  1852 0.83 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   8  10   3.1e-18     2e-14   50.1   0.4  1292  1341  1884  1933  1882  1941 0.93 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7   9  10   1.7e-95   1.1e-91  306.3  20.9  1340  1571  1970  2238  1962  2279 0.88 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269300.1-p1   -           2754 280at5820            -           1963         0 2885.0 242.7  10  10    7e-199  4.6e-195  649.1  48.8  1568  1963  2301  2747  2285  2747 0.91 | transcript=PVP01_1269300.1 | gene=PVP01_1269300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2908066-2918666(+) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
