#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   1  10   2.1e-44   1.3e-40  137.8   2.4     1   147     5   183     5   189 0.85 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   2  10   3.4e-34   2.2e-30  103.9  19.5   145   238   212   309   204   314 0.92 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   3  10   9.6e-28   6.3e-24   82.6   0.1   236   316   411   500   409   504 0.84 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   4  10   1.7e-52   1.1e-48  164.6   0.1   316   469   537   741   531   743 0.81 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   5  10   2.3e-10   1.5e-06   25.0   0.1   468   506   814   853   811   864 0.86 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   6  10     1e-18   6.6e-15   52.7   0.4   497   553   868   928   857   930 0.88 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   7  10   7.9e-31   5.1e-27   92.8   2.7   549   613   946  1010   942  1020 0.95 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   8  10   1.9e-54   1.2e-50  171.0   5.2   612   736  1087  1217  1082  1220 0.94 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5   9  10   3.4e-11   2.2e-07   27.8   9.9   736   793  1259  1337  1252  1344 0.73 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211200.1-p1   -           1679 1391at5820           -           1077         0 1290.7 116.5  10  10    1e-144  6.7e-141  469.9  18.9   784  1076  1358  1659  1353  1660 0.95 | transcript=PVP01_0211200.1 | gene=PVP01_0211200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:455027-461088(-) | protein_length=1679 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1391at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1391at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1391at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:49 2026
# [ok]
