#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1419300.1-p1   -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  7.8e-173  1.3e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419300.1-p1   -           1218 1919at5820           -           1069         0 2019.9 170.4   2   4   5.5e-78     9e-75  250.7  48.7   246   435   283   480   278   481 0.92 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419300.1-p1   -           1218 1919at5820           -           1069         0 2019.9 170.4   3   4  2.7e-112  4.4e-109  364.3  17.4   405   626   477   712   472   721 0.91 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419300.1-p1   -           1218 1919at5820           -           1069         0 2019.9 170.4   4   4  1.1e-261  1.8e-258  858.9  62.0   611  1069   720  1213   713  1213 0.95 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1919at5820           -           1069   2.2e-27   93.8  44.1   1   5   3.7e-17     6e-14   49.3  32.7     3   333    58   432    56   440 0.70 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1919at5820           -           1069   2.2e-27   93.8  44.1   2   5         4   6.5e+03  -18.8  43.4   181   599   322   754   312   759 0.62 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1919at5820           -           1069   2.2e-27   93.8  44.1   3   5         4   6.5e+03  -12.6  21.3   259   382   812   937   777   943 0.58 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1919at5820           -           1069   2.2e-27   93.8  44.1   4   5         4   6.5e+03  -10.7  30.8   608   767   915  1063   911  1083 0.60 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1919at5820           -           1069   2.2e-27   93.8  44.1   5   5   2.2e-20   3.6e-17   60.0   3.5   858  1030  1232  1406  1187  1422 0.77 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520500.1-p1   -           1193 1919at5820           -           1069   5.8e-25   85.8 172.0   1   2   6.5e-13   1.1e-09   35.2  68.6     1   419     1   431     1   451 0.70 | transcript=PVP01_0520500.1 | gene=PVP01_0520500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 3, putative | transcript_product=structural maintenance of chromosomes protein 3, putative | location=PvP01_05_v2:828521-835340(-) | protein_length=1193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520500.1-p1   -           1193 1919at5820           -           1069   5.8e-25   85.8 172.0   2   2     1e-14   1.6e-11   41.2  95.9   432  1044   490  1174   448  1191 0.73 | transcript=PVP01_0520500.1 | gene=PVP01_0520500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 3, putative | transcript_product=structural maintenance of chromosomes protein 3, putative | location=PvP01_05_v2:828521-835340(-) | protein_length=1193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
