#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0713500.1-p1   -            159 12619at5820          -            157  2.7e-110  363.4   0.6   1   1  5.9e-113    3e-110  363.2   0.6     1   157     1   159     1   159 0.99 | transcript=PVP01_0713500.1 | gene=PVP01_0713500 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=PvP01_07_v2:630597-631487(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427600.1-p1   -            164 12619at5820          -            157   2.6e-31  106.7   0.1   1   1   6.1e-34   3.1e-31  106.5   0.1     3   148     4   143     1   153 0.92 | transcript=PVP01_1427600.1 | gene=PVP01_1427600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_14_v2:1176660-1177459(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820900.1-p1   -            160 12619at5820          -            157   1.6e-24   84.6   0.0   1   1     4e-27     2e-24   84.3   0.0     3   146     4   141     1   147 0.92 | transcript=PVP01_0820900.1 | gene=PVP01_0820900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_08_v2:917934-918552(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1303100.1-p1   -            147 12619at5820          -            157   4.8e-23   79.8   0.2   1   1   1.2e-25   6.1e-23   79.5   0.2     4   148     2   140     1   146 0.90 | transcript=PVP01_1303100.1 | gene=PVP01_1303100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:139095-140725(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719400.1-p1   -            163 12619at5820          -            157   3.1e-22   77.2   0.1   1   1   1.4e-24   6.9e-22   76.1   0.1     3   148     4   158     2   162 0.86 | transcript=PVP01_0719400.1 | gene=PVP01_0719400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_07_v2:850305-851664(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115600.1-p1   -            202 12619at5820          -            157   1.6e-19   68.4   0.1   1   1     5e-22   2.5e-19   67.8   0.1    34   142    34   143    25   156 0.88 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006700.1-p1   -            152 12619at5820          -            157     4e-18   63.9   0.1   1   1   8.9e-21   4.4e-18   63.7   0.1    44   144    37   137     1   146 0.83 | transcript=PVP01_1006700.1 | gene=PVP01_1006700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=PvP01_10_v2:295548-296628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619000.1-p1   -            191 12619at5820          -            157   2.6e-12   45.0   0.0   1   1   6.6e-15   3.3e-12   44.6   0.0    46   156    39   151     6   152 0.84 | transcript=PVP01_0619000.1 | gene=PVP01_0619000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_06_v2:779067-780509(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462400.1-p1   -            150 12619at5820          -            157   9.2e-12   43.2   0.1   1   1   2.3e-14   1.2e-11   42.9   0.1    60   142    61   142    37   147 0.83 | transcript=PVP01_1462400.1 | gene=PVP01_1462400 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=PvP01_14_v2:2690430-2691637(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142700.1-p1   -            152 12619at5820          -            157   4.5e-11   41.0   0.0   1   1   9.5e-14   4.8e-11   40.9   0.0    37   144    29   138     2   151 0.83 | transcript=PVP01_1142700.1 | gene=PVP01_1142700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=PvP01_11_v2:1812408-1813708(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336000.1-p1   -            301 12619at5820          -            157   6.5e-11   40.4   0.3   1   2      0.32   1.6e+02    0.2   0.0    71   144    49   123    18   130 0.67 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
