#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0808900.1-p1   -            242 11192at5820          -            221  5.2e-141  466.0   5.4   1   1  4.5e-144  5.8e-141  465.9   5.4     1   221     9   240     9   240 0.97 | transcript=PVP01_0808900.1 | gene=PVP01_0808900 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=PvP01_08_v2:406219-407218(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522100.1-p1   -            231 11192at5820          -            221   3.4e-23   80.8   0.7   1   1   3.7e-26   4.9e-23   80.3   0.7    22   202     8   206     2   219 0.76 | transcript=PVP01_0522100.1 | gene=PVP01_0522100 | organism=Plasmodium_vivax_P01 | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=PvP01_05_v2:893020-893715(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203700.1-p1   -            373 11192at5820          -            221   7.4e-14   50.3   5.3   1   3   7.5e-10   9.7e-07   27.0   0.2    24    79   108   172    96   224 0.75 | transcript=PVP01_0203700.1 | gene=PVP01_0203700 | organism=Plasmodium_vivax_P01 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=PvP01_02_v2:181861-183524(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203700.1-p1   -            373 11192at5820          -            221   7.4e-14   50.3   5.3   2   3   0.00046       0.6    8.1   0.1    59   109   231   281   198   315 0.62 | transcript=PVP01_0203700.1 | gene=PVP01_0203700 | organism=Plasmodium_vivax_P01 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=PvP01_02_v2:181861-183524(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203700.1-p1   -            373 11192at5820          -            221   7.4e-14   50.3   5.3   3   3   8.6e-07    0.0011   17.0   0.1   168   210   315   357   299   366 0.84 | transcript=PVP01_0203700.1 | gene=PVP01_0203700 | organism=Plasmodium_vivax_P01 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=PvP01_02_v2:181861-183524(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518400.1-p1   -            259 11192at5820          -            221   2.9e-06   25.5   0.2   1   2   7.6e-07     0.001   17.2   0.1    22   140     9   148     2   161 0.73 | transcript=PVP01_0518400.1 | gene=PVP01_0518400 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=PvP01_05_v2:768506-769285(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518400.1-p1   -            259 11192at5820          -            221   2.9e-06   25.5   0.2   2   2    0.0075       9.8    4.1   0.0   163   196   191   227   178   236 0.78 | transcript=PVP01_0518400.1 | gene=PVP01_0518400 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=PvP01_05_v2:768506-769285(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834400.1-p1   -            890 11192at5820          -            221    0.0005   18.1   0.3   1   3      0.71   9.2e+02   -2.3   0.0    21    55   419   453   406   461 0.69 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834400.1-p1   -            890 11192at5820          -            221    0.0005   18.1   0.3   2   3   1.2e-05     0.016   13.2   0.0    75   108   513   547   494   552 0.89 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834400.1-p1   -            890 11192at5820          -            221    0.0005   18.1   0.3   3   3     0.045        59    1.6   0.1   161   203   790   832   782   846 0.76 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
