#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1003400.1-p1   -            933 3692at5820           -            699         0 1028.3 148.7   1   3  1.4e-157  4.4e-154  513.2  47.6     1   306    26   365    26   372 0.92 | transcript=PVP01_1003400.1 | gene=PVP01_1003400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:172424-176045(-) | protein_length=933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003400.1-p1   -            933 3692at5820           -            699         0 1028.3 148.7   2   3   1.3e-83   4.4e-80  268.6  76.7   309   541   412   702   395   707 0.87 | transcript=PVP01_1003400.1 | gene=PVP01_1003400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:172424-176045(-) | protein_length=933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003400.1-p1   -            933 3692at5820           -            699         0 1028.3 148.7   3   3     8e-80   2.6e-76  256.2   8.5   541   698   737   905   722   906 0.91 | transcript=PVP01_1003400.1 | gene=PVP01_1003400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:172424-176045(-) | protein_length=933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   1  11      0.31     1e+03   -3.6   3.1    57   119   325   384   293   389 0.80 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   2  11       1.3   4.2e+03   -5.6   4.1   353   419   931   997   928  1033 0.63 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   3  11    0.0017       5.6    3.9   7.0     1    55  1326  1387  1326  1404 0.71 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   4  11         2   6.5e+03   -6.7  10.5    12   109  1401  1505  1387  1511 0.62 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   5  11   0.00033       1.1    6.2  11.6    11    68  1543  1600  1539  1615 0.86 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   6  11   1.5e-05     0.048   10.7   2.0     6    67  1656  1718  1652  1719 0.86 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   7  11     0.016        52    0.7   6.9     8    58  1711  1765  1708  1777 0.84 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 3692at5820           -            699   2.6e-06   24.8  33.1   8  11   8.4e-06     0.027   11.5  10.9    12    77  1835  1898  1832  1904 0.83 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
