#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   1  11   4.5e-16     3e-12   44.6   0.1     1    46    13    58    13    62 0.95 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   2  11   4.9e-20   3.2e-16   57.7   0.0    44   101   120   177   108   189 0.91 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   3  11   4.2e-05      0.27    8.4   0.0    96   132   222   260   217   267 0.85 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   4  11   1.3e-12   8.5e-09   33.2   0.0   123   181   326   384   304   389 0.85 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   5  11   2.8e-20   1.9e-16   58.5   0.1   181   250   427   504   420   507 0.81 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   6  11   2.1e-09   1.3e-05   22.6   0.0   253   297   559   610   555   618 0.86 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   7  11   5.7e-05      0.37    7.9   0.0   297   327   677   708   671   717 0.87 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   8  11   7.6e-23     5e-19   67.0   0.0   310   387   776   855   765   857 0.83 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1   9  11    0.0081        53    0.8   0.0   401   436   946   980   933   985 0.77 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1  10  11   1.7e-50   1.1e-46  158.4   8.9   429   536  1054  1170  1026  1173 0.85 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512100.1-p1   -           1445 2730at5820           -            759  8.4e-281  932.6  39.1  11  11  4.5e-147  2.9e-143  477.8   8.1   533   759  1195  1422  1193  1422 0.99 | transcript=PVP01_0512100.1 | gene=PVP01_0512100 | organism=Plasmodium_vivax_P01 | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=PvP01_05_v2:515389-520150(-) | protein_length=1445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2730at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2730at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2730at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:34 2026
# [ok]
