#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0945200.1-p1   -            359 8787at5820           -            280  5.2e-148  490.2  43.0   1   2   2.8e-98   3.7e-95  316.8  25.5     1   176     6   205     6   210 0.91 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 8787at5820           -            280  5.2e-148  490.2  43.0   2   2   5.3e-53   6.9e-50  168.3   9.4   177   280   234   359   226   359 0.87 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8787at5820           -            280     8e-16   56.6  14.7   1   3     1e-16   1.3e-13   49.3   4.9     3   166   192   353   190   378 0.70 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8787at5820           -            280     8e-16   56.6  14.7   2   3   5.7e-05     0.074   10.7   0.7   211   269   578   636   549   640 0.80 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8787at5820           -            280     8e-16   56.6  14.7   3   3     0.072        93    0.6   0.0    10    65   655   720   648   774 0.73 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 8787at5820           -            280     3e-11   41.5   8.6   1   4   2.3e-14     3e-11   41.5   8.6     6   191    45   226    38   273 0.78 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 8787at5820           -            280     3e-11   41.5   8.6   2   4   0.00076      0.99    7.1   0.1   217   256   419   458   352   471 0.75 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 8787at5820           -            280     3e-11   41.5   8.6   3   4      0.91   1.2e+03   -3.1   0.1    13    76   512   583   505   630 0.59 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 8787at5820           -            280     3e-11   41.5   8.6   4   4      0.55   7.1e+02   -2.3   0.4   188   254   902   973   874   975 0.57 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204400.1-p1   -            585 8787at5820           -            280   3.5e-10   38.0   1.8   1   1     4e-13   5.2e-10   37.5   1.8     6   170     5   167     1   196 0.80 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 8787at5820           -            280   4.5e-05   21.3   0.4   1   2   7.2e-07   0.00094   17.0   0.1    26    72     4    51     1    85 0.83 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
