#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1125200.1-p1   -            185 13550at5820          -            150   1.9e-85  282.9  12.3   1   1     1e-87   8.3e-85  280.8  12.3     1   150    22   185    22   185 0.93 | transcript=PVP01_1125200.1 | gene=PVP01_1125200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:1101312-1103077(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 13550at5820          -            150   2.3e-20   71.6  42.6   1   5   0.00011     0.091   11.2   3.8    44   127   185   270   148   283 0.72 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 13550at5820          -            150   2.3e-20   71.6  42.6   2   5   0.00011     0.093   11.2   3.3    79   133   283   343   277   345 0.82 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 13550at5820          -            150   2.3e-20   71.6  42.6   3   5   4.7e-09   3.8e-06   25.4   4.3    74   130   344   401   340   403 0.92 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 13550at5820          -            150   2.3e-20   71.6  42.6   4   5   8.7e-09   7.1e-06   24.6   4.7    71   131   402   464   399   466 0.88 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 13550at5820          -            150   2.3e-20   71.6  42.6   5   5   1.6e-07   0.00013   20.4   0.8    73   143   466   541   463   545 0.82 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 13550at5820          -            150   2.6e-19   68.2  22.8   1   5   6.2e-06    0.0051   15.3   0.5    73   131    34    93    27    96 0.76 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 13550at5820          -            150   2.6e-19   68.2  22.8   2   5   1.4e-07   0.00011   20.7   3.6    71   129    93   152    90   156 0.93 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 13550at5820          -            150   2.6e-19   68.2  22.8   3   5   6.3e-07   0.00051   18.5   1.0    71   128   154   212   151   218 0.91 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 13550at5820          -            150   2.6e-19   68.2  22.8   4   5      0.16   1.3e+02    1.0   0.1    75   127   219   278   214   281 0.61 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 13550at5820          -            150   2.6e-19   68.2  22.8   5   5   5.4e-09   4.4e-06   25.2   0.3    74   129   286   341   278   347 0.90 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 13550at5820          -            150   4.2e-15   54.5  42.5   1   5   1.2e-08   9.7e-06   24.1   6.0    55   127    71   143    25   154 0.70 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 13550at5820          -            150   4.2e-15   54.5  42.5   2   5   3.7e-08   3.1e-05   22.5   2.6    72   128   155   214   145   221 0.87 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 13550at5820          -            150   4.2e-15   54.5  42.5   3   5   9.2e-05     0.075   11.5   1.6    79   126   223   271   217   274 0.89 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 13550at5820          -            150   4.2e-15   54.5  42.5   4   5   1.4e-05     0.011   14.2   4.8    72   127   277   332   271   336 0.89 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 13550at5820          -            150   4.2e-15   54.5  42.5   5   5     0.073        59    2.1   0.6    70    88   337   355   333   415 0.69 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 13550at5820          -            150   1.9e-14   52.4  46.0   1   6      0.72   5.9e+02   -1.1   3.6    30    69    98   138    69   162 0.65 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 13550at5820          -            150   1.9e-14   52.4  46.0   2   6   6.2e-10   5.1e-07   28.3   1.0    68   132   231   296   175   300 0.78 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 13550at5820          -            150   1.9e-14   52.4  46.0   3   6   1.8e-08   1.4e-05   23.6   2.4    73   127   301   354   294   354 0.89 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 13550at5820          -            150   1.9e-14   52.4  46.0   4   6   2.5e-06    0.0021   16.6   3.3    67   129   355   421   355   429 0.80 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 13550at5820          -            150   1.9e-14   52.4  46.0   5   6   0.00091      0.74    8.3   1.2    78   129   431   486   420   491 0.79 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 13550at5820          -            150   1.9e-14   52.4  46.0   6   6     0.057        46    2.4   2.0    69   128   487   549   484   568 0.75 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   1  10   2.8e-08   2.3e-05   22.9   1.2    69   131    93   158    88   164 0.84 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   2  10   2.2e-06    0.0018   16.8   3.8    70   132   158   220   155   224 0.85 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   3  10   4.5e-06    0.0037   15.7   0.3    71   137   220   286   216   290 0.79 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   4  10   0.00018      0.15   10.6   0.1    79   127   290   347   287   352 0.77 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   5  10    0.0057       4.6    5.7   0.1    75   122   355   405   347   414 0.77 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   6  10      0.02        16    3.9   0.9    64   111   652   698   646   701 0.72 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   7  10    0.0046       3.7    6.0   1.4    28   128   687   796   681   804 0.74 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   8  10     0.038        31    3.0   0.3   112   133   894   915   888   917 0.86 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6   9  10      0.26   2.1e+02    0.3   2.5    74   127   916   971   912   979 0.72 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 13550at5820          -            150   2.5e-14   52.0  55.6  10  10      0.11        91    1.5   0.1   107   127  1030  1050  1011  1055 0.80 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
