#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   1  12   4.4e-34   2.9e-30  103.3   1.4     1    85     1    92     1    94 0.89 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   2  12  1.1e-116    7e-113  377.1  13.1    86   323   181   435   177   438 0.93 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   3  12  3.2e-102   2.1e-98  329.1  18.9   323   547   478   746   475   749 0.88 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   4  12  3.2e-153  2.1e-149  498.2  31.2   549   827   820  1104   817  1110 0.97 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   5  12   1.8e-29   1.2e-25   88.1   0.2   819   892  1122  1198  1114  1208 0.92 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   6  12   1.6e-51     1e-47  161.1   0.7   882   982  1299  1400  1291  1404 0.93 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   7  12   0.00072       4.7    3.2   0.4   980   996  1442  1458  1438  1460 0.91 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   8  12     4e-69   2.6e-65  219.4   6.5   995  1116  1495  1620  1484  1635 0.94 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4   9  12   1.3e-37   8.4e-34  115.0   3.1  1115  1179  1652  1716  1650  1722 0.96 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4  10  12     2e-91   1.3e-87  293.4  16.9  1176  1338  1756  1921  1749  1924 0.96 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4  11  12   1.2e-15   7.6e-12   42.3   0.1  1340  1383  1979  2024  1975  2030 0.92 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236700.1-p1   -           2240 529at5820            -           1531         0 2431.1 188.4  12  12   2.2e-80   1.4e-76  256.8  19.8  1381  1531  2049  2203  2047  2203 0.96 | transcript=PVP01_1236700.1 | gene=PVP01_1236700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1453659-1460525(-) | protein_length=2240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/529at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
