#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   1  39   1.6e-49   1.1e-46  156.3   2.1     1    81     1    81     1    88 0.98 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   2  39    9e-200  5.9e-197  655.1  32.8    80   421   137   484   132   489 0.98 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   3  39   1.8e-99   1.2e-96  322.1  11.7   426   592   743   912   737   920 0.97 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   4  39  1.9e-227  1.2e-224  747.0  37.5   598   963   964  1345   952  1350 0.96 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   5  39  1.1e-128  7.2e-126  419.1  18.5   956  1184  1374  1602  1371  1604 0.99 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   6  39   5.5e-66   3.6e-63  211.0   0.7  1187  1304  1712  1843  1686  1853 0.91 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   7  39     7e-24   4.6e-21   71.2   0.3  1303  1357  1909  1964  1898  1980 0.92 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   8  39   2.7e-91   1.7e-88  295.0  16.5  1370  1533  2112  2289  2101  2294 0.92 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   9  39   6.9e-60   4.5e-57  190.7   9.5  1528  1640  2438  2550  2434  2557 0.97 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2  10  39   9.9e-33   6.5e-30  100.6   4.2  1621  1694  2561  2634  2551  2643 0.91 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2  11  39  5.1e-126  3.3e-123  410.3  25.7  1696  1910  2732  2946  2725  2968 0.94 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
