#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1008800.1-p1   -           1006 7767at5820           -            425  7.4e-194  643.1 157.0   1   5  2.7e-112  1.8e-109  365.1  15.3     1   203    14   217    14   228 0.82 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7767at5820           -            425  7.4e-194  643.1 157.0   2   5    0.0034       2.2    5.6  39.3   147   309   230   397   219   413 0.58 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7767at5820           -            425  7.4e-194  643.1 157.0   3   5   2.4e-23   1.6e-20   72.0  31.2   163   279   456   582   411   586 0.72 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7767at5820           -            425  7.4e-194  643.1 157.0   4   5     2e-45   1.3e-42  144.8  32.0   209   379   624   794   609   814 0.75 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7767at5820           -            425  7.4e-194  643.1 157.0   5   5   1.4e-26   8.8e-24   82.7   4.4   374   425   955  1006   939  1006 0.89 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7767at5820           -            425   7.4e-35  119.2  16.4   1   4   1.1e-37   7.4e-35  119.2  16.4     5   131    38   164    34   222 0.79 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7767at5820           -            425   7.4e-35  119.2  16.4   2   4     0.054        35    1.7   0.9   165   219   165   224   154   247 0.78 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7767at5820           -            425   7.4e-35  119.2  16.4   3   4        10   6.5e+03   -6.0  12.9   147   238   313   400   302   434 0.75 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 7767at5820           -            425   7.4e-35  119.2  16.4   4   4        10   6.5e+03  -12.2  14.9   214   264   635   684   611   713 0.37 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 7767at5820           -            425   1.1e-25   89.0   7.4   1   3   1.7e-28   1.1e-25   89.0   7.4     4   121     9   129     6   175 0.85 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 7767at5820           -            425   1.1e-25   89.0   7.4   2   3      0.21   1.4e+02   -0.3   0.6   204   262   234   294   222   329 0.62 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
