#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0824900.1-p1   -           2115 9454at5820           -            232  6.3e-163  538.1  18.9   1   6   1.4e-35   2.3e-32  110.8   0.8    35   231    99   299    94   300 0.94 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 9454at5820           -            232  6.3e-163  538.1  18.9   2   6   1.1e-36   1.9e-33  114.4   0.6    37   231   326   522   317   523 0.95 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 9454at5820           -            232  6.3e-163  538.1  18.9   3   6   2.8e-30   4.6e-27   93.5   0.0    37   231   584   779   577   780 0.94 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 9454at5820           -            232  6.3e-163  538.1  18.9   4   6   1.3e-39   2.1e-36  124.0   0.0    38   231   821  1017   814  1018 0.95 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 9454at5820           -            232  6.3e-163  538.1  18.9   5   6   1.5e-16   2.4e-13   48.6   0.0    37   203  1047  1215  1035  1220 0.85 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 9454at5820           -            232  6.3e-163  538.1  18.9   6   6   3.1e-18     5e-15   54.1   1.6    29   231  1292  1503  1286  1504 0.84 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118900.1-p1   -            295 9454at5820           -            232  1.8e-134  445.0   4.3   1   2   2.3e-14   3.8e-11   41.4   0.3     8    35    42    69    35    74 0.92 | transcript=PVP01_0118900.1 | gene=PVP01_0118900 | organism=Plasmodium_vivax_P01 | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=PvP01_01_v2:866750-867637(+) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118900.1-p1   -            295 9454at5820           -            232  1.8e-134  445.0   4.3   2   2  1.6e-125  2.6e-122  405.2   0.4    33   232    87   288    81   288 0.98 | transcript=PVP01_0118900.1 | gene=PVP01_0118900 | organism=Plasmodium_vivax_P01 | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=PvP01_01_v2:866750-867637(+) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218700.1-p1   -            556 9454at5820           -            232   3.2e-14   51.4   0.2   1   1   3.2e-17   5.2e-14   50.8   0.2    21   231    22   232     5   233 0.84 | transcript=PVP01_1218700.1 | gene=PVP01_1218700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=PvP01_12_v2:768961-770631(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132600.1-p1   -           1512 9454at5820           -            232     3e-08   31.9   0.1   1   1   3.7e-11   6.1e-08   30.9   0.1    33   173   322   465   310   495 0.84 | transcript=PVP01_1132600.1 | gene=PVP01_1132600 | organism=Plasmodium_vivax_P01 | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=PvP01_11_v2:1394606-1399144(-) | protein_length=1512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
