#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0703300.1-p1   -           2064 870at5820            -           1107         0 1930.1 147.3   1   6   6.9e-19   1.5e-15   54.6   0.8     1    91     1    98     1   104 0.84 | transcript=PVP01_0703300.1 | gene=PVP01_0703300 | organism=Plasmodium_vivax_P01 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=PvP01_07_v2:187292-193820(-) | protein_length=2064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703300.1-p1   -           2064 870at5820            -           1107         0 1930.1 147.3   2   6  5.3e-122  1.1e-118  396.1  21.5    63   304   307   572   300   582 0.89 | transcript=PVP01_0703300.1 | gene=PVP01_0703300 | organism=Plasmodium_vivax_P01 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=PvP01_07_v2:187292-193820(-) | protein_length=2064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703300.1-p1   -           2064 870at5820            -           1107         0 1930.1 147.3   3   6   8.9e-77   1.9e-73  246.3  12.4   308   440   958  1090   937  1103 0.94 | transcript=PVP01_0703300.1 | gene=PVP01_0703300 | organism=Plasmodium_vivax_P01 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=PvP01_07_v2:187292-193820(-) | protein_length=2064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703300.1-p1   -           2064 870at5820            -           1107         0 1930.1 147.3   4   6  1.1e-170  2.3e-167  557.3  26.7   438   706  1191  1460  1186  1466 0.98 | transcript=PVP01_0703300.1 | gene=PVP01_0703300 | organism=Plasmodium_vivax_P01 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=PvP01_07_v2:187292-193820(-) | protein_length=2064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703300.1-p1   -           2064 870at5820            -           1107         0 1930.1 147.3   5   6   1.6e-31   3.4e-28   96.5  11.3   706   800  1581  1699  1573  1706 0.84 | transcript=PVP01_0703300.1 | gene=PVP01_0703300 | organism=Plasmodium_vivax_P01 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=PvP01_07_v2:187292-193820(-) | protein_length=2064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703300.1-p1   -           2064 870at5820            -           1107         0 1930.1 147.3   6   6  6.9e-185  1.5e-181  604.3  35.8   792  1107  1719  2053  1700  2053 0.92 | transcript=PVP01_0703300.1 | gene=PVP01_0703300 | organism=Plasmodium_vivax_P01 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=PvP01_07_v2:187292-193820(-) | protein_length=2064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 870at5820            -           1107   1.3e-08   31.7   0.4   1   2    0.0063        14    1.8   4.7   484   673   170   366   138   377 0.69 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 870at5820            -           1107   1.3e-08   31.7   0.4   2   2   5.8e-12   1.3e-08   31.7   0.4   984  1076   840   932   829   962 0.76 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 870at5820            -           1107   2.6e-08   30.6   1.2   1   3     0.001       2.2    4.4   0.2   569   685   435   547   319   562 0.69 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 870at5820            -           1107   2.6e-08   30.6   1.2   2   3    0.0044       9.5    2.3   0.0   940   990   818   868   809   879 0.90 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 870at5820            -           1107   2.6e-08   30.6   1.2   3   3   1.6e-08   3.5e-05   20.3   0.5   993  1083   915  1005   909  1023 0.72 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/870at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/870at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/870at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:13 2026
# [ok]
