#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0409600.1-p1   -            793 4771at5820           -            726         0 1023.4  10.3   1   1         0         0 1021.3  10.3    15   726    32   793     4   793 0.75 | transcript=PVP01_0409600.1 | gene=PVP01_0409600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:388246-390629(+) | protein_length=793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 4771at5820           -            726   0.00045   17.1  14.0   1   1   2.2e-06   0.00056   16.8  14.0   423   531   246   348   128   379 0.60 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901200.1-p1   -            229 4771at5820           -            726     0.016   12.0   8.7   1   1   8.1e-05      0.02   11.7   8.7   386   508    95   216    72   224 0.37 | transcript=PVP01_0901200.1 | gene=PVP01_0901200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:70737-71545(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306500.1-p1   -            352 4771at5820           -            726     0.023   11.5  23.1   1   1   0.00013     0.032   11.0  23.1   397   516    70   190    41   228 0.35 | transcript=PVP01_1306500.1 | gene=PVP01_1306500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:301120-302328(+) | protein_length=352 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107800.1-p1   -            325 4771at5820           -            726     0.033   11.0  13.0   1   1   0.00017     0.043   10.6  13.0   373   543    16   198     8   237 0.41 | transcript=PVP01_0107800.1 | gene=PVP01_0107800 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 10, putative | transcript_product=mediator of RNA polymerase II transcription subunit 10, putative | location=PvP01_01_v2:390005-390982(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219300.1-p1   -            420 4771at5820           -            726     0.037   10.8  10.7   1   1   0.00021     0.053   10.3  10.7   364   522    12   170    10   191 0.40 | transcript=PVP01_1219300.1 | gene=PVP01_1219300 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:792292-793554(+) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424900.1-p1   -            436 4771at5820           -            726     0.043   10.6  13.4   1   1   0.00023     0.058   10.2  13.4   416   547    78   211    70   215 0.55 | transcript=PVP01_1424900.1 | gene=PVP01_1424900 | organism=Plasmodium_vivax_P01 | gene_product=drug/metabolite transporter DMT1, putative | transcript_product=drug/metabolite transporter DMT1, putative | location=PvP01_14_v2:1070552-1071862(-) | protein_length=436 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 4771at5820           -            726     0.065   10.0  21.7   1   1   0.00048      0.12    9.1  21.7   411   501   306   406   286   419 0.32 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 4771at5820           -            726       0.1    9.3  26.8   1   1   0.00053      0.13    9.0  26.8   389   512    69   190    40   211 0.31 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 4771at5820           -            726      0.14    8.9  12.8   1   1   0.00051      0.13    9.0  12.8   452   521    87   155    24   158 0.60 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 4771at5820           -            726      0.14    8.9  39.4   1   1   0.00076      0.19    8.4  39.4   410   531   105   236    68   254 0.28 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
