#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0811800.1-p1   -            406 9842at5820           -            282  4.6e-148  490.6  43.0   1   4   3.5e-45   3.8e-42  143.1   7.0     1    89     1    89     1   103 0.90 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 9842at5820           -            282  4.6e-148  490.6  43.0   2   4   2.6e-34   2.8e-31  107.4   5.6    80   173   121   209   115   223 0.75 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 9842at5820           -            282  4.6e-148  490.6  43.0   3   4     5e-39   5.5e-36  122.9   3.0   138   225   233   326   217   334 0.87 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 9842at5820           -            282  4.6e-148  490.6  43.0   4   4   1.2e-42   1.3e-39  134.8   4.8   215   282   339   406   330   406 0.94 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 9842at5820           -            282   9.3e-15   53.3   1.3   1   2   1.4e-09   1.5e-06   26.4   0.1     1    68     1    69     1    74 0.85 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 9842at5820           -            282   9.3e-15   53.3   1.3   2   2   1.3e-09   1.5e-06   26.4   0.1     1    69    77   146    77   151 0.85 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106100.1-p1   -            128 9842at5820           -            282   1.2e-06   26.7   0.1   1   1   1.3e-09   1.4e-06   26.4   0.1     1    69     1    70     1    76 0.87 | transcript=PVP01_1106100.1 | gene=PVP01_1106100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=PvP01_11_v2:247411-248217(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 9842at5820           -            282   0.00034   18.6   0.1   1   2   3.1e-07   0.00034   18.6   0.1    10    57    12    58     1    93 0.81 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 9842at5820           -            282   0.00034   18.6   0.1   2   2       1.7   1.8e+03   -3.5   0.6   154   186   193   225   172   227 0.61 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413900.1-p1   -             76 9842at5820           -            282    0.0016   16.4   0.1   1   1   1.6e-06    0.0017   16.3   0.1     1    60     1    59     1    73 0.87 | transcript=PVP01_1413900.1 | gene=PVP01_1413900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=PvP01_14_v2:615074-615591(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115600.1-p1   -            202 9842at5820           -            282     0.014   13.3   0.0   1   1     2e-05     0.022   12.7   0.0   240   275   166   201   152   202 0.89 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
