#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1109800.1-p1   -            483 5836at5820           -            442         0 1023.0  13.9   1   1         0         0 1022.2  13.9     1   442     1   454     1   454 0.98 | transcript=PVP01_1109800.1 | gene=PVP01_1109800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=PvP01_11_v2:391883-393334(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906800.1-p1   -            475 5836at5820           -            442  9.1e-103  342.7   7.7   1   1    2e-105  1.3e-102  342.2   7.7    11   436    15   474     6   475 0.88 | transcript=PVP01_0906800.1 | gene=PVP01_0906800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=PvP01_09_v2:376371-377798(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430600.1-p1   -            579 5836at5820           -            442   3.8e-99  330.8  16.6   1   2    0.0059       3.8    4.5   0.0    10    27    48    65    40    77 0.83 | transcript=PVP01_1430600.1 | gene=PVP01_1430600 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=PvP01_14_v2:1323658-1326144(+) | protein_length=579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430600.1-p1   -            579 5836at5820           -            442   3.8e-99  330.8  16.6   2   2  1.1e-100     7e-98  326.6  14.2    33   437   163   579   155   579 0.91 | transcript=PVP01_1430600.1 | gene=PVP01_1430600 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=PvP01_14_v2:1323658-1326144(+) | protein_length=579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 5836at5820           -            442   0.00021   18.5   0.2   1   3      0.52   3.4e+02   -1.9   0.2   231   269    40    79    10    89 0.69 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 5836at5820           -            442   0.00021   18.5   0.2   2   3   6.3e-05     0.041   11.0   0.0    64   116   242   293   234   312 0.85 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 5836at5820           -            442   0.00021   18.5   0.2   3   3    0.0073       4.8    4.2   0.0    62   112   513   561   505   571 0.81 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5836at5820           -            442   0.00051   17.3   0.1   1   2   0.00017      0.11    9.6   0.0    62   116   509   562   501   580 0.76 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5836at5820           -            442   0.00051   17.3   0.1   2   2    0.0048       3.1    4.8   0.0    64   111   831   876   824   887 0.82 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 5836at5820           -            442   0.00071   16.8   1.3   1   3     3e-06     0.002   15.3   0.1    62   102   282   320   273   341 0.83 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 5836at5820           -            442   0.00071   16.8   1.3   2   3      0.28   1.8e+02   -1.0   0.0   277   359   342   432   326   449 0.68 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 5836at5820           -            442   0.00071   16.8   1.3   3   3         1   6.8e+02   -2.9   0.0   245   270   612   637   586   664 0.63 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 5836at5820           -            442   0.00076   16.7   0.0   1   2   0.00056      0.36    7.9   0.0    63   103   289   328   278   350 0.78 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 5836at5820           -            442   0.00076   16.7   0.0   2   2    0.0022       1.4    5.9   0.0    58    88   565   595   537   627 0.77 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 5836at5820           -            442     0.003   14.8   0.0   1   1   7.5e-06    0.0049   14.0   0.0    60   108   593   640   566   660 0.80 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 5836at5820           -            442    0.0084   13.3   0.0   1   2    0.0018       1.1    6.2   0.0    63    88   380   405   367   489 0.76 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 5836at5820           -            442    0.0084   13.3   0.0   2   2    0.0052       3.4    4.7   0.0    62   111   803   850   795   863 0.82 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 5836at5820           -            442     0.043   10.9   0.0   1   1   0.00013     0.086    9.9   0.0    65   102   437   472   430   494 0.84 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5836at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5836at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5836at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:37 2026
# [ok]
