#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   1   7   1.3e-24   1.7e-21   74.7   3.4     1    56    38    93    38   137 0.81 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   2   7   1.8e-59   2.3e-56  190.0   9.2    61   215   186   364   180   405 0.88 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   3   7   5.9e-46   7.7e-43  145.3   1.6   226   319   469   568   455   572 0.92 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   4   7   0.00089       1.2    5.9   0.0   320   336   652   668   646   678 0.87 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   5   7     1e-96   1.3e-93  313.1   0.0   339   532   710   910   698   921 0.92 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   6   7   1.7e-64   2.3e-61  206.6   0.0   526   643   977  1094   964  1102 0.95 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   7   7   1.3e-42   1.7e-39  134.2   0.2   639   722  1144  1228  1135  1228 0.96 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 2178at5820           -            722   4.7e-15   53.5   1.2   1   1   5.9e-18   7.7e-15   52.7   1.2   376   532     7   169     4   196 0.79 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 2178at5820           -            722   2.1e-10   38.1   0.0   1   1   2.4e-13   3.1e-10   37.5   0.0   389   470     4    82     1   120 0.90 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 2178at5820           -            722   2.4e-10   37.9   3.0   1   2   1.3e-06    0.0018   15.2   1.6   383   464   209   288   195   305 0.87 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 2178at5820           -            722   2.4e-10   37.9   3.0   2   2   1.9e-08   2.5e-05   21.3   0.0   386   463   668   751   661   766 0.76 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
