#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0418000.1-p1   -            706 3809at5820           -            594         0 1079.4  31.5   1   2  2.4e-293  8.6e-291  964.2  17.9     7   511    22   558    15   576 0.93 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 3809at5820           -            594         0 1079.4  31.5   2   2   4.5e-38   1.6e-35  121.2   5.7   512   594   618   706   592   706 0.83 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 3809at5820           -            594   1.6e-70  236.8  21.4   1   3   1.1e-12   3.9e-10   37.4   0.2    24   177   323   492   315   497 0.72 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 3809at5820           -            594   1.6e-70  236.8  21.4   2   3   2.7e-60   9.7e-58  194.6   6.2   202   479   541   813   532   841 0.90 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 3809at5820           -            594   1.6e-70  236.8  21.4   3   3   1.9e-05    0.0068   13.5   2.4   519   592  1050  1125  1037  1127 0.78 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 3809at5820           -            594   2.4e-69  232.9  24.2   1   3      0.81   2.9e+02   -1.8   0.0   343   387   264   310   239   332 0.75 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 3809at5820           -            594   2.4e-69  232.9  24.2   2   3   2.8e-67     1e-64  217.7  14.4    23   479   336   827   317   856 0.80 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 3809at5820           -            594   2.4e-69  232.9  24.2   3   3   4.3e-07   0.00016   18.9   0.9   518   592  1027  1103   995  1105 0.83 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 3809at5820           -            594   2.9e-69  232.7  26.1   1   3   2.2e-10   7.9e-08   29.8   4.2    23   177   261   431   244   434 0.75 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 3809at5820           -            594   2.9e-69  232.7  26.1   2   3   2.7e-61     1e-58  197.9   6.5   204   491   483   765   471   788 0.88 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 3809at5820           -            594   2.9e-69  232.7  26.1   3   3   3.8e-06    0.0014   15.8   0.8   512   592   909   993   887   995 0.72 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
