#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0413500.1-p1   -           1253 2668at5820           -            661         0 1156.6  90.8   1   4   9.2e-12     1e-08   32.7   0.4     1    36     1    36     1    48 0.88 | transcript=PVP01_0413500.1 | gene=PVP01_0413500 | organism=Plasmodium_vivax_P01 | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=PvP01_04_v2:546015-549776(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413500.1-p1   -           1253 2668at5820           -            661         0 1156.6  90.8   2   4  8.7e-221  9.4e-218  723.4  14.3    40   351   225   536   220   542 0.99 | transcript=PVP01_0413500.1 | gene=PVP01_0413500 | organism=Plasmodium_vivax_P01 | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=PvP01_04_v2:546015-549776(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413500.1-p1   -           1253 2668at5820           -            661         0 1156.6  90.8   3   4     2e-10   2.2e-07   28.3  13.2   341   410   568   641   559   705 0.79 | transcript=PVP01_0413500.1 | gene=PVP01_0413500 | organism=Plasmodium_vivax_P01 | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=PvP01_04_v2:546015-549776(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413500.1-p1   -           1253 2668at5820           -            661         0 1156.6  90.8   4   4  1.8e-119  1.9e-116  388.6  40.9   427   661  1005  1253   952  1253 0.92 | transcript=PVP01_0413500.1 | gene=PVP01_0413500 | organism=Plasmodium_vivax_P01 | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=PvP01_04_v2:546015-549776(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946300.1-p1   -            703 2668at5820           -            661   2.1e-29  101.1   3.1   1   3      0.59   6.4e+02   -3.0   1.5   399   430   102   134    31   146 0.52 | transcript=PVP01_0946300.1 | gene=PVP01_0946300 | organism=Plasmodium_vivax_P01 | gene_product=TMEM65 domain-containing protein, putative | transcript_product=TMEM65 domain-containing protein, putative | location=PvP01_09_v2:2023955-2026476(-) | protein_length=703 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946300.1-p1   -            703 2668at5820           -            661   2.1e-29  101.1   3.1   2   3   1.9e-32   2.1e-29  101.1   3.1    37   211   348   535   321   552 0.79 | transcript=PVP01_0946300.1 | gene=PVP01_0946300 | organism=Plasmodium_vivax_P01 | gene_product=TMEM65 domain-containing protein, putative | transcript_product=TMEM65 domain-containing protein, putative | location=PvP01_09_v2:2023955-2026476(-) | protein_length=703 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946300.1-p1   -            703 2668at5820           -            661   2.1e-29  101.1   3.1   3   3     0.078        85   -0.1   0.0   266   314   635   681   624   688 0.85 | transcript=PVP01_0946300.1 | gene=PVP01_0946300 | organism=Plasmodium_vivax_P01 | gene_product=TMEM65 domain-containing protein, putative | transcript_product=TMEM65 domain-containing protein, putative | location=PvP01_09_v2:2023955-2026476(-) | protein_length=703 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259900.1-p1   -            131 2668at5820           -            661     0.066   10.2  11.0   1   1   6.9e-05     0.075   10.0  11.0   335   446     7   124     2   130 0.72 | transcript=PVP01_1259900.1 | gene=PVP01_1259900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2467755-2468563(+) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 2668at5820           -            661         1    6.2  18.0   1   1    0.0012       1.3    5.9  18.0   330   415    49   134    35   137 0.75 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 2668at5820           -            661       1.1    6.1  11.3   1   1    0.0013       1.4    5.8  11.3   354   428   125   199   104   271 0.76 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620700.1-p1   -            344 2668at5820           -            661       5.7    3.8  14.1   1   1    0.0084       9.2    3.1  14.1   354   447   221   314   201   329 0.65 | transcript=PVP01_0620700.1 | gene=PVP01_0620700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:838600-839634(+) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
