#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   1  10   8.8e-33   5.7e-29   99.0   0.0     1    74     1    73     1    79 0.93 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   2  10   1.2e-79   7.9e-76  254.3   0.0    73   241   113   287   107   295 0.96 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   3  10   2.1e-43   1.4e-39  134.1   0.0   250   393   351   519   331   526 0.85 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   4  10   4.1e-15   2.7e-11   40.4   0.0   381   447   529   611   521   614 0.79 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   5  10   2.3e-70   1.5e-66  223.5   4.9   466   683   684   975   676   978 0.81 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   6  10   1.5e-62   9.9e-59  197.6   1.6   683   823  1013  1165  1009  1167 0.91 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   7  10   1.3e-14   8.4e-11   38.8   0.0   823   884  1191  1274  1187  1280 0.83 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   8  10  2.3e-126  1.5e-122  409.1   1.0   884  1269  1320  1822  1315  1831 0.81 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0   9  10   1.1e-43   6.9e-40  135.1   0.4  1263  1365  1858  1959  1842  1962 0.91 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308300.1-p1   -           2099 326at5820            -           1464         0 1643.2  29.0  10  10   5.1e-36   3.3e-32  109.7   0.5  1366  1464  1989  2099  1987  2099 0.90 | transcript=PVP01_0308300.1 | gene=PVP01_0308300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:398206-404505(-) | protein_length=2099 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
