#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   1  11     2e-58   6.4e-55  184.9   7.8     1   122     1   132     1   146 0.84 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   2  11       1.4   4.7e+03   -6.7  17.1    88   127   148   186   139   191 0.64 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   3  11   3.5e-14   1.1e-10   38.4  14.7   101   170   186   256   184   258 0.83 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   4  11   2.3e-57   7.7e-54  181.4  37.3   103   314   255   472   252   505 0.67 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   5  11   3.8e-12   1.3e-08   31.7   2.7   300   353   564   617   557   623 0.84 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   6  11  4.2e-129  1.4e-125  418.9  49.6   349   613   723  1005   666  1037 0.78 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   7  11   3.9e-07    0.0013   15.1   6.4   622   730  1078  1178  1054  1190 0.60 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   8  11      0.41   1.3e+03   -4.9  15.8   608   703  1184  1285  1168  1314 0.56 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   9  11     0.013        44    0.1   3.9   680   737  1375  1433  1352  1451 0.51 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3  10  11   1.1e-69   3.5e-66  222.2  22.1   725   859  1541  1675  1524  1679 0.96 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3  11  11  8.6e-129  2.8e-125  417.9  45.6   855  1072  1739  1960  1733  1960 0.98 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
