#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0805300.1-p1   -            755 8755at5820           -            527    2e-227  754.6  76.2   1   2  1.7e-197  4.6e-195  647.8  36.1     1   397     1   469     1   491 0.85 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 8755at5820           -            527    2e-227  754.6  76.2   2   2   4.6e-35   1.2e-32  111.8  32.8   358   520   517   736   480   749 0.72 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 8755at5820           -            527   4.4e-17   60.5   1.5   1   1   1.7e-19   4.4e-17   60.5   1.5     8    77    43   108    40   165 0.84 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 8755at5820           -            527   1.6e-16   58.6   1.2   1   2   2.7e-18   6.9e-16   56.5   0.4     8    80     4    74     2    90 0.89 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 8755at5820           -            527   1.6e-16   58.6   1.2   2   2      0.41   1.1e+02   -0.2   0.0   221   252   259   291   255   303 0.83 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 8755at5820           -            527     2e-16   58.3   0.0   1   1   1.3e-18   3.4e-16   57.6   0.0     5    90    79   162    77   196 0.90 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 8755at5820           -            527   7.1e-16   56.5   1.5   1   2   2.7e-18   7.1e-16   56.5   1.5     9   104    47   136    43   149 0.91 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 8755at5820           -            527   7.1e-16   56.5   1.5   2   2       1.8   4.7e+02   -2.3   2.7   418   517   255   291   176   341 0.56 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 8755at5820           -            527   8.2e-16   56.3   0.6   1   1   5.2e-18   1.4e-15   55.6   0.3     7    75     5    69     1    74 0.91 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 8755at5820           -            527   8.4e-14   49.7   0.8   1   3      0.76     2e+02   -1.1   8.5   312   393    77   152    71   164 0.50 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 8755at5820           -            527   8.4e-14   49.7   0.8   2   3   3.2e-16   8.4e-14   49.7   0.8     8    78   304   369   300   375 0.93 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 8755at5820           -            527   8.4e-14   49.7   0.8   3   3       1.1   2.9e+02   -1.6   0.8   438   458   613   633   595   645 0.59 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 8755at5820           -            527   1.6e-13   48.7   2.5   1   1   9.6e-16   2.5e-13   48.1   2.5     8   114    85   196    79   240 0.72 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 8755at5820           -            527   4.8e-12   43.9   3.3   1   2         5   1.3e+03   -3.8   5.5   113   156   125   170   116   192 0.53 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
