#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1432200.1-p1   -            586 4915at5820           -            487  7.7e-300  993.0  36.4   1   2     2e-07   0.00018   18.8   9.1     1    44     1    43     1    65 0.65 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 4915at5820           -            487  7.7e-300  993.0  36.4   2   2  9.4e-299  8.8e-296  979.6  19.6    31   486    83   542    59   543 0.93 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926500.1-p1   -            566 4915at5820           -            487   6.2e-55  185.2  15.5   1   1   8.9e-58   8.3e-55  184.8  15.5    44   475   111   532    90   545 0.84 | transcript=PVP01_0926500.1 | gene=PVP01_0926500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1168688-1170978(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 4915at5820           -            487     6e-40  135.8  15.1   1   1   9.1e-43   8.5e-40  135.3  15.1    71   432    61   424    14   470 0.85 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 4915at5820           -            487     4e-14   50.6   0.0   1   2   7.6e-06    0.0071   13.5   0.0   304   357    15    69     5    79 0.79 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 4915at5820           -            487     4e-14   50.6   0.0   2   2   3.4e-12   3.2e-09   34.4   0.0   157   331    88   266    68   275 0.77 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   1   7    0.0028       2.6    5.1   4.5    36   106     5    76     2    84 0.83 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   2   7   3.5e-09   3.3e-06   24.5   0.5   271   355    97   182    80   187 0.84 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   3   7   6.5e-10     6e-07   26.9   1.0   273   358   153   242   150   256 0.87 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   4   7      0.37   3.5e+02   -2.0   0.1   270   307   314   349   269   391 0.62 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   5   7     0.066        61    0.5   0.1   137   196   393   454   387   464 0.70 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   6   7       1.9   1.8e+03   -4.3   2.3     9    46   563   600   548   616 0.63 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 4915at5820           -            487   1.1e-10   39.2   6.9   7   7       1.3   1.2e+03   -3.7   0.1   272   304   703   738   695   741 0.58 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 4915at5820           -            487   3.2e-10   37.7  12.4   1   3   2.6e-08   2.4e-05   21.6   1.1    94   196    83   179    71   194 0.53 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 4915at5820           -            487   3.2e-10   37.7  12.4   2   3   1.2e-06    0.0012   16.1   0.4   272   357   200   278   193   285 0.83 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 4915at5820           -            487   3.2e-10   37.7  12.4   3   3   0.00082      0.77    6.8   0.3   309   361   343   393   332   430 0.72 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 4915at5820           -            487   1.5e-06   25.7   0.2   1   2      0.34   3.1e+02   -1.8   0.0   272   308  1324  1362  1317  1365 0.83 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 4915at5820           -            487   1.5e-06   25.7   0.2   2   2     7e-09   6.5e-06   23.5   0.1   273   357  1447  1529  1441  1544 0.90 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4915at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4915at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4915at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:37 2026
# [ok]
