#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1139200.1-p1   -            284 9900at5820           -            237    5e-148  489.5  22.9   1   1  1.2e-150  6.5e-148  489.2  22.9    10   237    31   277    24   277 0.98 | transcript=PVP01_1139200.1 | gene=PVP01_1139200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=PvP01_11_v2:1657663-1659306(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 9900at5820           -            237   2.1e-33  114.3   9.0   1   1   5.3e-36   2.9e-33  113.9   8.2    33   232    58   272    26   276 0.81 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 9900at5820           -            237   1.5e-26   91.9   8.1   1   2   2.8e-29   1.5e-26   91.9   8.1    42   222    32   229    12   240 0.76 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 9900at5820           -            237   1.5e-26   91.9   8.1   2   2       2.4   1.3e+03   -2.8   0.1   192   204   245   257   243   261 0.86 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005400.1-p1   -            437 9900at5820           -            237     2e-26   91.5  20.7   1   1   3.7e-29     2e-26   91.5  20.7    68   233   244   413   155   417 0.79 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409100.1-p1   -            272 9900at5820           -            237   2.7e-20   71.4  17.7   1   1   9.7e-23   5.3e-20   70.5  17.6    62   192    84   222    14   257 0.70 | transcript=PVP01_0409100.1 | gene=PVP01_0409100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=PvP01_04_v2:369394-371760(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 9900at5820           -            237     2e-18   65.3  20.5   1   2       3.4   1.9e+03   -3.3   3.5   107   161    31    89    13   111 0.57 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 9900at5820           -            237     2e-18   65.3  20.5   2   2   3.6e-21     2e-18   65.3  20.5    54   210   121   290   104   300 0.81 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 9900at5820           -            237   6.6e-16   57.0   8.5   1   1   2.2e-18   1.2e-15   56.2   8.5    71   190   297   413   269   417 0.69 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 9900at5820           -            237   3.2e-14   51.5  29.5   1   2      0.53   2.9e+02   -0.7   5.0    26    56    68    98    34   104 0.49 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 9900at5820           -            237   3.2e-14   51.5  29.5   2   2   1.1e-16   5.8e-14   50.7  26.9    30   196    72   260    50   268 0.67 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
