#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1462800.1-p1   -            408 12492at5820          -            312    1e-143  477.0  39.5   1   3  1.1e-146    1e-143  477.0  39.5     1   303     1   304     1   311 0.81 | transcript=PVP01_1462800.1 | gene=PVP01_1462800 | organism=Plasmodium_vivax_P01 | gene_product=epsin-like protein, putative | transcript_product=epsin-like protein, putative | location=PvP01_14_v2:2706874-2708453(+) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462800.1-p1   -            408 12492at5820          -            312    1e-143  477.0  39.5   2   3      0.31   2.9e+02   -0.8  31.9   225   297   284   356   281   357 0.68 | transcript=PVP01_1462800.1 | gene=PVP01_1462800 | organism=Plasmodium_vivax_P01 | gene_product=epsin-like protein, putative | transcript_product=epsin-like protein, putative | location=PvP01_14_v2:2706874-2708453(+) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462800.1-p1   -            408 12492at5820          -            312    1e-143  477.0  39.5   3   3     0.079        73    1.1  53.1   229   311   312   393   306   395 0.60 | transcript=PVP01_1462800.1 | gene=PVP01_1462800 | organism=Plasmodium_vivax_P01 | gene_product=epsin-like protein, putative | transcript_product=epsin-like protein, putative | location=PvP01_14_v2:2706874-2708453(+) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461800.1-p1   -            205 12492at5820          -            312      0.26    9.2  47.0   1   1   0.00036      0.33    8.8  47.0   182   311    58   189    33   191 0.66 | transcript=PVP01_1461800.1 | gene=PVP01_1461800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2670285-2671250(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0000190.1-p1   -            403 12492at5820          -            312      0.46    8.4  15.4   1   1   0.00074      0.69    7.8  15.4   254   307   143   196   121   201 0.68 | transcript=PVP01_0000190.1 | gene=PVP01_0000190 | organism=Plasmodium_vivax_P01 | gene_product=lysophospholipase, putative | transcript_product=lysophospholipase, putative | location=Transfer.PvP01_00_1.final:85856-87067(+) | protein_length=403 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0005460.1-p1   -            472 12492at5820          -            312       2.9    5.7  21.2   1   1    0.0017       1.6    6.6  19.2   178   286    39   151    11   175 0.61 | transcript=PVP01_0005460.1 | gene=PVP01_0005460 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_15.final:96725-98239(+) | protein_length=472 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1135500.1-p1   -            904 12492at5820          -            312       3.6    5.4  20.0   1   1      0.01       9.7    4.0  20.0   203   296    46   124     4   207 0.59 | transcript=PVP01_1135500.1 | gene=PVP01_1135500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1524551-1528041(-) | protein_length=904 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026800.1-p1   -            602 12492at5820          -            312       3.7    5.4   8.1   1   1    0.0073       6.8    4.5   8.1   261   286    78   103    62   119 0.72 | transcript=PVP01_1026800.1 | gene=PVP01_1026800 | organism=Plasmodium_vivax_P01 | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=PvP01_10_v2:1163295-1165103(+) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 12492at5820          -            312       6.4    4.6  11.4   1   2     0.024        23    2.8   9.2   241   298   336   391   319   399 0.55 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 12492at5820          -            312       6.4    4.6  11.4   2   2     0.057        53    1.6   0.0   273   288   579   594   459   631 0.71 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12492at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12492at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12492at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:03 2026
# [ok]
