#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0506400.1-p1   -            268 10390at5820          -            231  5.6e-140  463.3  21.3   1   1  6.8e-143  6.3e-140  463.1  21.3     1   231    33   264    33   264 0.99 | transcript=PVP01_0506400.1 | gene=PVP01_0506400 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=PvP01_05_v2:282088-283313(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914900.1-p1   -            276 10390at5820          -            231     9e-42  142.0  17.1   1   1   1.1e-44     1e-41  141.7  17.1     2   229    43   274    42   276 0.87 | transcript=PVP01_0914900.1 | gene=PVP01_0914900 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=PvP01_09_v2:678815-680269(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027100.1-p1   -            627 10390at5820          -            231   4.3e-20   71.0  12.2   1   1   1.1e-22     1e-19   69.8  12.2    39   188   307   455   300   464 0.88 | transcript=PVP01_1027100.1 | gene=PVP01_1027100 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=PvP01_10_v2:1171368-1173251(+) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337700.1-p1   -            822 10390at5820          -            231   1.6e-17   62.6  29.3   1   1   2.6e-20   2.4e-17   62.1  29.3     3   217   586   804   584   820 0.80 | transcript=PVP01_1337700.1 | gene=PVP01_1337700 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM8, putative | transcript_product=rhomboid protease ROM8, putative | location=PvP01_13_v2:1625082-1627985(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130900.1-p1   -            273 10390at5820          -            231   2.6e-16   58.6  16.9   1   1   2.8e-19   2.6e-16   58.6  16.9     2   218    42   259    41   273 0.71 | transcript=PVP01_1130900.1 | gene=PVP01_1130900 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM10, putative | transcript_product=rhomboid protease ROM10, putative | location=PvP01_11_v2:1328638-1330520(+) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018800.1-p1   -            416 10390at5820          -            231    0.0011   17.4   1.5   1   2       2.9   2.7e+03   -3.6   0.1   153   175   173   193   162   200 0.56 | transcript=PVP01_1018800.1 | gene=PVP01_1018800 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=PvP01_10_v2:833785-835369(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018800.1-p1   -            416 10390at5820          -            231    0.0011   17.4   1.5   2   2   1.2e-06    0.0011   17.4   1.5    52   115   250   312   226   409 0.79 | transcript=PVP01_1018800.1 | gene=PVP01_1018800 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=PvP01_10_v2:833785-835369(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113600.1-p1   -            335 10390at5820          -            231    0.0057   15.0   5.2   1   3       2.9   2.7e+03   -3.5   0.1     3    17   105   119    94   129 0.48 | transcript=PVP01_1113600.1 | gene=PVP01_1113600 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=PvP01_11_v2:586140-587147(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113600.1-p1   -            335 10390at5820          -            231    0.0057   15.0   5.2   2   3   6.1e-06    0.0057   15.0   5.2    56   114   166   224   154   227 0.88 | transcript=PVP01_1113600.1 | gene=PVP01_1113600 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=PvP01_11_v2:586140-587147(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113600.1-p1   -            335 10390at5820          -            231    0.0057   15.0   5.2   3   3     0.018        17    3.6  10.4   116   190   254   325   227   331 0.71 | transcript=PVP01_1113600.1 | gene=PVP01_1113600 | organism=Plasmodium_vivax_P01 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=PvP01_11_v2:586140-587147(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
