#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1103800.1-p1   -            619 3836at5820           -            588         0 1318.1  16.7   1   1         0         0 1317.8  16.7     1   588     1   612     1   612 0.98 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3836at5820           -            588   1.4e-11   42.1  11.6   1   3     0.014       8.9    3.1   0.1   115   133   210   228   189   241 0.84 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3836at5820           -            588   1.4e-11   42.1  11.6   2   3   8.1e-06    0.0053   13.8   0.2   452   529   358   431   343   447 0.70 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3836at5820           -            588   1.4e-11   42.1  11.6   3   3   2.2e-10   1.5e-07   28.8   3.4   373   527   606   762   590   771 0.65 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3836at5820           -            588   6.4e-10   36.6  11.5   1   5      0.43   2.8e+02   -1.8   1.4    64   141   200   278   194   292 0.75 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3836at5820           -            588   6.4e-10   36.6  11.5   2   5     0.025        16    2.3   0.0   366   396   408   438   327   463 0.77 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3836at5820           -            588   6.4e-10   36.6  11.5   3   5   1.1e-07     7e-05   20.0   0.2   454   524   576   646   559   663 0.68 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3836at5820           -            588   6.4e-10   36.6  11.5   4   5      0.67   4.3e+02   -2.4   0.0   372   391  1195  1214  1184  1239 0.76 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3836at5820           -            588   6.4e-10   36.6  11.5   5   5   2.9e-07   0.00019   18.6   0.0   457   533  1356  1431  1344  1448 0.91 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 3836at5820           -            588   9.4e-08   29.5   1.4   1   1   2.4e-10   1.6e-07   28.7   1.4   348   529    12   202     6   229 0.69 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820500.1-p1   -           2637 3836at5820           -            588   1.1e-06   26.0  11.9   1   3   6.7e-07   0.00043   17.4   0.0   368   397   845   874   823   881 0.85 | transcript=PVP01_0820500.1 | gene=PVP01_0820500 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=PvP01_08_v2:896677-905020(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
