#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1318100.1-p1   -            780 4413at5820           -            552  3.9e-277  918.9  46.7   1   4     6e-65   5.6e-62  208.7  13.7     2   147     9   171     5   198 0.87 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 4413at5820           -            552  3.9e-277  918.9  46.7   2   4   3.4e-92   3.2e-89  298.6  10.0   144   302   273   434   262   437 0.95 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 4413at5820           -            552  3.9e-277  918.9  46.7   3   4  7.1e-123  6.6e-120  399.9   3.6   303   526   481   725   473   729 0.92 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 4413at5820           -            552  3.9e-277  918.9  46.7   4   4   6.7e-09   6.2e-06   23.7   0.1   527   552   752   777   744   777 0.94 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 4413at5820           -            552   5.4e-24   83.3  18.9   1   3      0.37   3.4e+02   -1.9   1.5   137   171    29    63     4    85 0.65 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 4413at5820           -            552   5.4e-24   83.3  18.9   2   3     5e-12   4.6e-09   34.0   3.7   138   290   128   295   108   311 0.67 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 4413at5820           -            552   5.4e-24   83.3  18.9   3   3   6.2e-20   5.7e-17   60.1   0.6   359   519   319   475   297   480 0.86 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 4413at5820           -            552   6.2e-09   33.6   0.3   1   1   1.4e-11   1.3e-08   32.5   0.3   322   419   519   611   408   628 0.79 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005000.1-p1   -            533 4413at5820           -            552   9.2e-09   33.0   1.5   1   3         7   6.5e+03   -6.3   3.3    70    79    33    42     8    79 0.48 | transcript=PVP01_1005000.1 | gene=PVP01_1005000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear GTP-binding protein, putative | transcript_product=nuclear GTP-binding protein, putative | location=PvP01_10_v2:239404-241005(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005000.1-p1   -            533 4413at5820           -            552   9.2e-09   33.0   1.5   2   3   9.9e-12   9.2e-09   33.0   1.5   212   284   188   258   170   268 0.86 | transcript=PVP01_1005000.1 | gene=PVP01_1005000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear GTP-binding protein, putative | transcript_product=nuclear GTP-binding protein, putative | location=PvP01_10_v2:239404-241005(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005000.1-p1   -            533 4413at5820           -            552   9.2e-09   33.0   1.5   3   3      0.77   7.1e+02   -2.9   2.6   109   157   416   465   375   480 0.61 | transcript=PVP01_1005000.1 | gene=PVP01_1005000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear GTP-binding protein, putative | transcript_product=nuclear GTP-binding protein, putative | location=PvP01_10_v2:239404-241005(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 4413at5820           -            552   1.6e-07   28.9   0.0   1   1   2.6e-10   2.4e-07   28.3   0.0   362   424    85   150    51   181 0.74 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 4413at5820           -            552   1.1e-06   26.2   7.3   1   3   0.00056      0.52    7.4   0.0   362   422   293   359   283   373 0.75 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 4413at5820           -            552   1.1e-06   26.2   7.3   2   3   2.9e-07   0.00027   18.3   0.4   340   396   547   603   533   618 0.82 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 4413at5820           -            552   1.1e-06   26.2   7.3   3   3     0.019        17    2.4   0.9   212   270   649   704   630   770 0.82 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 4413at5820           -            552   0.00058   17.2   5.3   1   3   0.00048      0.45    7.6   0.3   216   264   105   153    95   178 0.82 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 4413at5820           -            552   0.00058   17.2   5.3   2   3     5e-05     0.047   10.9   0.1   355   380   196   221   164   281 0.85 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 4413at5820           -            552   0.00058   17.2   5.3   3   3      0.15   1.4e+02   -0.6   0.1   444   461   337   356   317   366 0.83 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4413at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:31 2026
# [ok]
