#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1336000.1-p1   -            301 10019at5820          -            226  4.7e-133  440.1  15.3   1   3   4.8e-27   2.4e-24   84.5   2.0     1    55     1    56     1    67 0.95 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336000.1-p1   -            301 10019at5820          -            226  4.7e-133  440.1  15.3   2   3    0.0095       4.8    5.1   0.2    55    84    90   123    81   146 0.76 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336000.1-p1   -            301 10019at5820          -            226  4.7e-133  440.1  15.3   3   3  8.4e-111  4.2e-108  358.5   4.1    44   226   120   301   105   301 0.88 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209300.1-p1   -            262 10019at5820          -            226   3.1e-35  120.1   0.5   1   1   8.7e-38   4.4e-35  119.7   0.5    82   225   118   261    86   262 0.89 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006700.1-p1   -            152 10019at5820          -            226   4.5e-17   60.7   0.0   1   1   1.2e-19   5.8e-17   60.4   0.0    85   194     5   115     2   128 0.90 | transcript=PVP01_1006700.1 | gene=PVP01_1006700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=PvP01_10_v2:295548-296628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820900.1-p1   -            160 10019at5820          -            226   6.3e-16   57.0   1.7   1   2   1.6e-18   8.1e-16   56.6   0.7   115   191    39   114     1   124 0.84 | transcript=PVP01_0820900.1 | gene=PVP01_0820900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_08_v2:917934-918552(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820900.1-p1   -            160 10019at5820          -            226   6.3e-16   57.0   1.7   2   2       1.1   5.4e+02   -1.6   0.0    49    62   127   140   121   154 0.75 | transcript=PVP01_0820900.1 | gene=PVP01_0820900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_08_v2:917934-918552(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427600.1-p1   -            164 10019at5820          -            226   1.6e-15   55.7   0.0   1   1   4.1e-18     2e-15   55.3   0.0    82   192     4   115     1   124 0.86 | transcript=PVP01_1427600.1 | gene=PVP01_1427600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_14_v2:1176660-1177459(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1303100.1-p1   -            147 10019at5820          -            226   1.2e-14   52.8   0.0   1   1   2.7e-17   1.4e-14   52.6   0.0   111   192    32   112     2   133 0.87 | transcript=PVP01_1303100.1 | gene=PVP01_1303100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:139095-140725(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115600.1-p1   -            202 10019at5820          -            226   1.5e-12   46.0   0.0   1   1   4.4e-15   2.2e-12   45.4   0.0    86   192    13   121     4   130 0.87 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713500.1-p1   -            159 10019at5820          -            226   3.6e-12   44.7   0.0   1   1     1e-14     5e-12   44.2   0.0   109   191    38   121     1   130 0.77 | transcript=PVP01_0713500.1 | gene=PVP01_0713500 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=PvP01_07_v2:630597-631487(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
